kjh	Тип	Двнутр	Днар	Высота	Тстенки	Ширина	Длина	Вес	Кол-во скоб
Рабочая камера	КЛВ8	820	960	1550	140	0	0	10	0
Рабочая камера	КЛК10	1000	1160	1800	160	0	0	10	0
Рабочая камера	КЛК13	1250	1410	1800	160	0	0	10	0
Рабочая камера	КЛК15	1500	1680	1800	180	0	0	10	0
Рабочая камера	КВГ13	1270	1410	1980	140	0	0	10	0
Рабочая камера	КВГ15	1520	1680	1980	160	0	0	10	0
Рабочая камера	КВГ20	2000	2200	1980	200	0	0	10	0
Рабочая камера	КВГ25	2500	2700	1980	200	0	0	10	0
Стеновое кольцо	КС7.3	700	840	290	70	0	0	130	1
Стеновое кольцо	КС7.9	700	840	890	70	0	0	380	3
Стеновое кольцо	КС10.3	1000	1160	290	80	0	0	200	1
Стеновое кольцо	КС10.6	1000	1160	590	80	0	0	400	2
Стеновое кольцо	КС10.9	1000	1160	890	80	0	0	600	3
Стеновое кольцо	КС13.6	1250	1410	590	80	0	0	500	2
Стеновое кольцо	КС15.6	1500	1680	590	90	0	0	660	2
Стеновое кольцо	КС15.9	1500	1680	890	90	0	0	1000	3
Стеновое кольцо	КС15.18	1500	1680	1790	90	0	0	2010	6
Стеновое кольцо	КС20.6	2000	2200	590	100	0	0	980	2
Стеновое кольцо	КС20.9	2000	2200	890	100	0	0	1480	3
Стеновое кольцо	КС25.6	2500	2700	590	100	0	0	1200	2
Стеновое кольцо	КС10.9а	0	1160	890	80	400	400	550	3
Стеновое кольцо	КС10.18а	0	1160	1790	80	400	400	1150	6
Стеновое кольцо	КС13.9а	0	1410	890	80	400	400	700	3
Стеновое кольцо	КС15.9а	0	1680	890	90	600	500	880	3
Стеновое кольцо	КС15.18а	0	1680	1790	90	600	600	1880	6
Стеновое кольцо	КС20.12а	0	2200	1190	100	900	700	1680	0
Стеновое кольцо	КС25.12а	0	2700	1190	100	1400	800	2180	0
Стеновое кольцо	КС13.9б	500	1410	890	80	400	500	600	0
Стеновое кольцо	КС15.6б	600	1680	590	80	400	350	550	0
Стеновое кольцо	КС15.9б	600	1680	890	80	400	500	800	0
Стеновое кольцо	КС15.18б	600	1680	1790	90	400	600	1800	0
Стеновое кольцо	КС20.6б	900	2200	590	90	500	350	750	0
Стеновое кольцо	КС20.9б	900	2200	890	100	500	500	1100	0
Стеновое кольцо	КС20.12б	900	2200	1190	100	500	600	1600	0
Стеновое кольцо	КС20.18б	900	2200	1790	100	500	700	2550	0
Стеновое кольцо	КС25.12б	1400	2700	1190	100	700	800	1900	0
Опорное кольцо	КО6	580	840	70	130	0	0	50	0
Опорная плита	ПО10	1000	1000	150	0	1700	1700	800	0
Дорожная плита	ПД6	580	940	220	0	2500	1750	2100	0
Дорожная плита	ПД10	1000	1360	220	0	2800	2000	2500	0
Плита днища	ПН10	1500	1500	100	0	0	0	450	0
Плита днища	ПН15	2000	2000	120	0	0	0	950	0
Плита днища	ПН20	2500	2500	120	0	0	0	1480	0
Плита днища	ПН25	3000	3000	140	0	0	0	2450	0
Плита перекрытия	ПП10-1	700	1160	150	150	0	0	250	0
Плита перекрытия	ПП10-2	700	1160	150	150	0	0	250	0
Плита перекрытия	ПП13-1	700	1410	150	275	0	0	450	0
Плита перекрытия	ПП13-2	700	1410	150	275	0	0	450	0
Плита перекрытия	1ПП15-1	700	1680	150	400	0	0	680	0
Плита перекрытия	1ПП15-2	700	1680	150	400	0	0	680	0
Плита перекрытия	2ПП15-1	700	1680	150	200	0	0	680	0
Плита перекрытия	2ПП15-2	700	1680	150	200	0	0	680	0
Плита перекрытия	3ПП15-1	1000	1680	150	240	0	0	530	0
Плита перекрытия	3ПП15-2	1000	1680	150	240	0	0	530	0
Плита перекрытия	1ПП20-1	700	2200	160	200	0	0	1380	0
Плита перекрытия	1ПП20-2	700	2200	160	200	0	0	1380	0
Плита перекрытия	2ПП20-1	1000	2200	160	500	0	0	1200	0
Плита перекрытия	2ПП20-2	1000	2200	160	500	0	0	1200	0
Люк	Люк	1000	2000	1000	0	0	0	10	0
