DN;D;R;P;ves;ang;art;ext
20;20;11;16;0.01;90;500 00 020 2;16
25;25;13.5;16;0.02;90;500 00 025 2;18.5
32;32;17;16;0.02;90;500 00 032 2;22
40;40;21;16;0.05;90;500 00 040 2;26
50;50;26;16;0.09;90;500 00 050 2;31
63;63;32.5;16;0.18;90;500 00 063 2;38
75;75;38.5;16;0.31;90;500 00 075 2;43.5
90;90;46;16;0.42;90;500 00 090 2;51
110;110;56;16;0.75;90;500 00 110 2;61
125;125;63.5;16;1.15;90;500 00 125 2;68.5
140;140;71;16;1.53;90;500 00 140 2;76
160;160;81;16;2.25;90;500 00 160 2;86
200;200;101;16;4.65;90;500 00 200 2;106
225;225;114;10;4.83;90;500 00 225 2;118.5
250;250;131;10;6.97;90;500 00 250 4;131
280;280;141;10;8.55;90;500 00 280 4;146
315;315;163;10;12.3;90;500 00 315 4;163.5
355;355;184;10;17.5;90;500 00 355 4;183.5
400;400;206;10;23.5;90;500 00 400 4;206
20;20;5;16;0.01;45;502 00 020 2;16
25;25;6;16;0.01;45;502 00 025 2;18.5
32;32;7.5;16;0.02;45;502 00 032 2;22
40;40;9.5;16;0.04;45;502 00 040 2;26
50;50;11.5;16;0.07;45;502 00 050 2;31
63;63;14;16;0.13;45;502 00 063 2;38
75;75;16.5;16;0.20;45;502 00 075 2;43.5
90;90;19.5;16;0.34;45;502 00 090 2;51
110;110;24;16;0.63;45;502 00 110 2;61
125;125;27;16;0.91;45;502 00 125 2;68.5
140;140;30;16;1.35;45;502 00 140 2;76
160;160;34;16;2;45;502 00 160 2;86
200;200;43;10;3.7;45;502 00 200 2;106
225;225;48;10;4;45;502 00 225 2;118.5
250;250;53;10;5.47;45;502 00 250 4;131
280;280;59;10;7.51;45;502 00 280 5;146
315;315;63;10;9.2;45;502 00 315 4;163.5
355;355;67;10;9.65;45;502 00 355 5;183.5
400;400;72;10;5;45;502 00 400 4;206
