DN;D;T;D1;T1;L;H;P;ves
1;89;3.5;57;3;300;100.5;4.0;3.2
2;89;3.5;76;3;300;100.5;4.0;3.5
3;108;4;76;3;300;101;4.0;5
4;108;4;89;3.5;300;101;4.0;5.2
5;133;4;38;2;250;103.5;4.0;4.8
6;133;4;45;2.5;250;103.5;4.0;4.9
7;133;4;57;3;300;103.5;4.0;6
8;133;4;76;3;300;103.5;4.0;6.2
9;133;4;89;3.5;350;123.5;4.0;7.4
10;133;4;89;3.5;350;123.5;2.5;7.1
11;133;4;108;4;350;123.5;4.0;8.2
12;133;4;108;4;350;123.5;2.5;7.5
13;159;5;57;3;300;100.5;4.0;7.4
14;159;5;76;3;300;100.5;4.0;8.4
15;159;5;89;3.5;350;120.5;4.0;9.9
16;159;5;108;4;350;120.5;4.0;10.8
17;159;5;133;4;400;120.5;4.0;12.4
18;159;5;133;4;400;120.5;2.5;11.5
19;219;7;76;3;300;100.5;4.0;14.3
20;219;7;89;3.5;350;100.5;4.0;16.7
21;219;7;108;4;350;120.5;4.0;17.3
22;219;7;133;4;400;120.5;4.0;20.3
23;219;7;159;5;400;120.5;4.0;21
24;273;8;76;3;300;103.5;4.0;21.5
25;273;8;89;3.5;350;103.5;4.0;25.1
26;273;8;108;4;350;123.5;4.0;25.4
27;273;8;133;4;400;123.5;4.0;29.7
28;273;8;159;5;400;123.5;4.0;30.4
29;273;8;219;7;400;143.5;4.0;34.2
30;325;8;57;3;400;102.5;4.0;31.3
31;325;8;76;3;400;102.5;4.0;40.6
32;325;8;89;3.5;400;102.5;4.0;40.2
33;325;8;108;4;400;122.5;4.0;40.4
34;325;8;133;4;400;122.5;4.0;41
35;325;8;159;5;400;122.5;4.0;41.4
36;325;8;219;7;500;142.5;4.0;55.3
37;325;8;219;7;500;142.5;2.5;41.8
38;325;8;273;8;500;142.5;2.5;43.4
39;325;8;273;8;500;142.5;4.0;66.2
40;377;9;57;3;400;101.5;4.0;39.8
41;377;9;76;3;400;101.5;4.0;53.9
42;377;9;89;3.5;400;101.5;4.0;54
43;377;9;108;4;400;121.5;4.0;54.1
44;377;9;133;4;400;121.5;4.0;54
45;377;9;159;5;400;121.5;4.0;55
46;377;9;219;7;600;141.5;4.0;82.7
47;377;9;273;8;600;141.5;4.0;140.6
48;377;9;273;8;600;141.5;2.5;63
49;377;9;325;8;600;161.5;4.0;169.8
50;377;9;325;8;600;161.5;2.5;66.7
51;426;10;38;2;400;102;4.0;48.9
52;426;10;45;2.5;400;102;4.0;48.9
53;426;10;57;3;400;102;4.0;49
54;426;10;76;3;400;102;4.0;65.1
55;426;10;89;3.5;400;102;4.0;64
56;426;10;108;4;400;122;4.0;65.2
57;426;10;133;4;500;122;4.0;81.2
58;426;10;159;5;500;122;4.0;82.4
59;426;10;219;7;600;142;4.0;101.4
60;426;10;273;8;600;142;4.0;102.9
61;426;10;273;8;600;142;2.5;76.2
62;426;9;273;6;600;142;1.6;60.2
63;426;10;325;8;700;162;4.0;129.7
64;426;10;325;8;700;162;2.5;103.3
65;426;9;325;6;700;162;1.6;71.3
66;426;10;377;9;700;162;4.0;134.6
67;426;10;377;9;700;162;2.5;103.4
68;426;10;377;9;700;162;1.6;73.5
69;530;8;133;4;500;120;2.5;70.8
70;530;8;159;5;500;120;2.5;71.8
71;530;8;219;7;600;140;2.5;86.9
72;530;8;273;8;600;140;2.5;91.8
73;530;8;325;8;700;160;2.5;107.2
74;530;8;325;6;700;160;1.6;103.1
75;530;8;377;9;700;160;2.5;129.3
76;530;8;377;9;700;160;1.6;104.9
77;530;8;426;10;700;180;2.5;132.3
78;530;8;426;9;700;180;1.6;106.6
79;630;8;219;6;600;140;1.6;94.5
80;630;8;273;6;600;140;1.6;95.3
81;630;12;325;8;700;160;2.5;150.5
82;630;8;325;6;700;160;1.6;113
83;630;12;377;9;700;160;2.5;156.5
84;630;8;377;9;700;160;1.6;132.8
85;630;12;426;10;800;180;2.5;180.8
86;630;8;426;9;800;180;1.6;153.3
87;630;12;530;8;800;180;2.5;208.4
88;630;8;530;8;800;180;1.6;157.9
89;630;8;530;8;800;180;1.0;128.8
90;720;9;108;4;600;120;2.5;115.9
91;720;9;133;4;600;120;2.5;116.9
92;720;9;159;5;600;120;2.5;116
93;720;9;219;7;600;140;2.5;119.6
94;720;9;273;8;750;140;2.5;185.2
95;720;9;273;6;750;160;1.6;148.4
96;720;9;325;6;750;140;1.6;125.6
97;720;9;325;8;750;160;2.5;188.2
98;720;9;377;9;750;160;2.5;195.6
99;720;9;377;9;750;160;1.6;149.7
100;720;9;426;10;900;180;2.5;279.4
101;720;9;426;9;900;180;1.6;182.2
102;720;9;530;8;900;180;2.5;281.8
103;720;9;530;8;900;180;1.6;218.4
104;720;9;630;12;900;220;2.5;297.9
105;720;9;630;8;900;220;1.6;230.9
106;720;9;630;8;900;220;1.0;172.5
107;820;11;219;7;600;140;2.5;168
108;820;11;273;8;750;140;2.5;214.2
109;820;9;273;6;750;140;1.6;137.4
110;820;11;325;8;750;160;2.5;217.6
111;820;5;325;6;750;160;1.6;171.4
112;820;11;377;9;750;160;2.5;266.6
113;820;9;377;9;750;160;1.6;168.8
114;820;11;426;10;1000;180;2.5;354.7
115;820;9;426;9;1000;180;1.6;245
116;820;11;530;8;1000;180;2.5;365.4
117;820;9;530;8;1000;220;1.6;230.2
118;820;11;630;12;1000;220;2.5;428
119;820;9;630;8;1000;220;1.6;296.1
120;820;9;630;8;1000;220;1.0;239.7
121;820;11;720;9;1100;220;2.5;477.3
122;820;9;720;9;1100;220;1.6;376.8
123;820;9;720;9;1100;220;1.0;252.3
124;1020;14;219;7;750;140;2.5;333.8
125;1020;10;219;6;750;140;1.6;261.9
126;1020;14;273;8;750;140;2.5;332.6
127;1020;10;273;6;750;140;1.6;260.7
128;1020;14;325;8;750;160;2.5;336.1
129;1020;10;325;6;750;160;1.6;263
130;1020;14;377;9;750;160;2.5;342.5
131;1020;10;377;9;750;160;1.6;263.2
132;1020;14;426;10;1000;180;2.5;456.1
133;1020;10;426;9;1000;180;1.6;349.6
134;1020;14;530;8;1000;180;2.5;530.5
135;1020;10;530;8;1000;180;1.6;353.9
136;1020;10;530;8;1000;180;1.0;343.2
137;1020;14;630;12;1000;220;2.5;548.4
138;1020;14;630;12;1000;220;1.6;438.4
139;1020;10;630;8;1000;220;1.0;353
140;1020;14;720;9;1200;220;2.5;676.7
141;1020;10;720;9;1200;220;1.6;530.6
142;1020;10;720;9;1200;220;1.0;415.4
143;1020;14;820;11;1200;220;2.5;735.8
144;1020;14;820;9;1200;220;1.6;537.4
145;1020;14;820;9;1200;220;1.0;418.8
146;1220;14;159;5;850;120;2.5;453.2
147;1220;14;219;7;850;140;2.5;454
148;1220;11;219;6;850;160;1.6;356.8
149;1220;14;273;8;850;140;2.5;458.9
150;1220;11;273;6;850;160;1.6;358.1
151;1220;14;325;8;850;160;2.5;460.6
152;1220;11;325;6;850;160;1.6;355.2
153;1220;14;377;9;850;160;2.5;452.6
154;1220;11;377;9;850;160;1.6;356.3
155;1220;14;426;10;1000;180;2.5;652.3
156;1220;11;426;9;1000;180;1.6;422.9
157;1220;14;530;8;1000;180;2.5;650.4
158;1220;11;530;8;1000;180;1.6;522.8
159;1220;11;530;8;1000;180;1.0;412.6
160;1220;14;630;12;1000;220;2.5;670
161;1220;11;630;8;1000;220;1.6;535.8
162;1220;11;630;8;1000;220;1.0;428.9
163;1220;14;720;9;1200;220;2.5;884.6
164;1220;11;720;9;1200;220;1.6;647.9
165;1220;11;720;9;1200;220;1.0;510
166;1220;14;820;11;1200;220;2.5;901.9
167;1220;11;820;9;1200;220;1.6;792.7
168;1220;11;820;9;1200;220;1.0;490.6
