DN;PN;Внутренний диаметр flange_dnf;Толщина flange_t;Наружный диаметр;Диаметр оси болтов;Количество болтов;Диаметр болтов;art;ves
20;16;28;11;96;65;4;14;513 00 020 2;0.10
25;16;34;12;105;75;4;14;513 00 025 2;0.12
32;16;42;14;115;85;4;14;513 00 032 2;0.18
40;16;51;15;140;100;4;14;513 00 040 2;0.29
50;16;62;16;150;110;4;18;513 00 050 2;0.23
63;16;78;18;165;125;4;18;513 00 063 2;0.30
75;16;92;20;185;145;4;18;513 00 075 2;0.40
90;16;111;22;200;160;8;18;513 00 090 2;0.46
110;16;133;24;220;180;8;18;513 00 110 2;0.53
125;16;150;26;250;210;8;18;513 00 125 2;0.78
140;16;167;26;250;210;8;18;513 00 140 2;0.74
160;16;193;28;285;250;8;22;513 00 160 2;0.81
200;16;234;32;340;295;8;22;513 00 200 2;1.67
225;16;257;32;340;295;8;22;513 00 225 2;1.23
250;16;278;36;370;325;8;22;513 00 250 2;2.19
280;10;310;36;395;350;12;22;513 00 280 2;1.58
315;10;348;36;445;400;12;22;513 00 315 2;2.96
355;10;388;38;505;460;16;22;513 00 355 4;2.96
400;10;442;42;565;515;16;26;513 00 400 4;2.96
