ДУ;Давление;Внутреннийдиаметр;Толщинафланца;НаружныйдиаметрD;ДиаметросиболтовD1;Кол-воболтов;Диаметрболтов;Диаметрюбки;Длинаюбки;Диаметр приварной части;Длина приварной части
10;1;8;10;75;50;4;10;22;9;15;6
10;2.5;8;10;75;50;4;10;22;9;15;6
10;6;8;12;75;50;4;10;22;11;15;6
10;10;8;12;90;60;4;12;25;17;15;6
10;16;8;14;90;60;4;12;26;15;15;6
10;25;8;16;90;60;4;12;26;13;15;6
10;40;8;16;90;60;4;12;26;13;15;6
10;63;8;18;100;70;4;12;34;24;15;6
10;100;8;18;100;70;4;12;34;21;15;6
10;160;8;18;100;70;4;12;34;21;15;6
10;250;8;18;100;85;4;12;34;21;15;6
15;1;12;10;80;55;4;10;28;12;19;6
15;2.5;12;10;80;55;4;10;28;12;19;6
15;6;12;12;80;55;4;10;28;12;19;6
15;10;12;12;95;65;4;12;30;17;19;6
15;16;12;14;95;65;4;12;30;15;19;6
15;25;12;16;95;65;4;12;30;13;19;6
15;40;12;16;95;65;4;12;30;13;19;6
15;63;12;18;105;75;4;12;38;24;19;6
15;100;12;20;105;75;4;12;38;22;19;6
15;160;12;20;105;75;4;12;38;26;19;6
15;200;14;26;120;82;4;20;40;22;23;6
15;250;14;26;120;90;4;20;40;22;23;6
20;1;18;10;90;65;4;10;36;14;26;6
20;2.5;18;10;90;65;4;10;36;14;26;6
20;6;18;12;90;65;4;10;36;14;26;6
20;10;18;14;105;75;4;12;38;18;26;6
20;16;18;14;105;75;4;12;38;18;26;6
20;25;18;16;105;75;4;12;38;14;26;6
20;40;18;16;105;75;4;12;38;14;26;6
20;63;18;20;125;90;4;16;48;28;26;8
20;100;18;22;125;90;4;16;48;23;26;8
20;160;18;22;125;90;4;16;48;28;26;8
20;200;19;28;130;90;4;20;46;21;29;8
20;250;19;33;130;90;4;20;46;21;29;8
25;1;25;10;100;75;4;10;42;14;33;6
25;2.5;25;10;100;75;4;10;42;14;33;6
25;6;25;14;100;75;4;10;42;12;33;6
25;10;25;14;115;85;4;12;45;20;33;6
25;16;25;14;115;85;4;12;45;20;33;6
25;25;25;16;115;85;4;12;45;16;33;6
25;40;25;16;115;85;4;12;45;16;33;6
25;63;25;22;135;100;4;16;52;28;33;8
25;100;25;24;135;100;4;16;52;26;33;8
25;160;25;24;135;100;4;16;52;26;33;8
25;200;25;30;150;102;4;24;54;24;36;8
25;250;25;30;150;105;4;24;54;24;36;8
32;1;31;10;120;90;4;12;50;14;39;6
32;2.5;31;10;120;90;4;12;50;14;39;6
32;6;31;14;120;90;4;12;50;15;39;6
32;10;31;15;135;100;4;16;55;21;39;6
32;16;31;15;135;100;4;16;55;21;39;6
32;25;31;18;135;100;4;16;56;21;39;6
32;40;31;18;135;100;4;16;56;21;39;6
32;63;31;23;150;110;4;20;64;31;39;8
32;100;31;24;150;110;4;20;64;30;39;8
32;160;31;24;150;110;4;20;64;35;39;8
32;200;31;32;160;115;4;24;64;27;43;8
32;250;31;37;160;115;4;24;64;26;43;9
40;1;38;12;130;100;4;12;60;17;46;7
40;2.5;38;12;130;100;4;12;60;17;46;7
40;6;38;15;130;100;4;12;60;16;46;7
40;10;38;16;145;110;4;16;62;22;46;7
40;16;38;16;145;110;4;16;64;22;46;7
40;25;38;19;145;110;4;16;64;22;46;7
40;40;38;19;145;110;4;16;64;22;46;7
40;63;37;24;165;125;4;20;74;34;46;10
40;100;37;26;165;125;4;20;76;34;46;10
40;160;37;28;165;125;4;20;76;37;46;10
40;200;36;34;170;124;4;24;74;31;49;10
40;250;36;34;170;135;4;24;74;31;49;10
50;1;49;12;140;110;4;12;70;16;58;8
50;2.5;49;12;140;110;4;12;70;16;58;8
50;6;49;15;140;110;4;12;70;15;58;8
50;10;49;16;160;125;4;16;76;21;58;8
50;16;49;16;160;125;4;16;76;24;58;8
50;25;49;20;160;125;4;16;76;20;58;8
50;40;48;20;160;125;4;16;76;20;58;8
50;63;47;26;175;135;4;20;86;34;58;10
50;100;45;28;195;145;4;24;86;33;58;10
50;160;45;30;195;145;4;24;86;38;58;10
50;200;46;40;210;160;8;24;105;48;61;10
50;250;46;40;210;150;8;24;105;48;61;10
65;1;66;12;160;130;4;12;88;15;77;9
65;2.5;66;12;160;130;4;12;88;15;77;9
65;6;66;15;160;130;4;12;88;14;77;9
65;10;66;18;180;145;4;16;94;20;77;10
65;16;66;18;180;145;4;16;94;22;77;10
65;25;66;22;180;145;8;16;96;21;77;10
65;40;66;22;180;145;8;16;96;21;77;10
65;63;64;28;200;160;8;20;106;35;77;12
65;100;62;32;220;170;8;24;110;39;77;12
65;160;62;34;220;170;8;24;110;42;77;12
65;200;68;48;260;203;8;27;138;61;90;12
65;250;68;48;260;180;8;27;138;61;90;12
80;1;78;14;185;150;4;16;102;14;90;10
80;2.5;78;14;185;150;4;16;102;14;90;10
80;6;78;16;185;150;4;16;102;14;90;10
80;10;78;18;195;160;4;16;105;22;90;10
80;16;78;20;195;160;4;16;110;23;90;10
80;25;78;22;195;160;8;16;110;21;90;12
80;40;78;24;195;160;8;16;112;22;90;12
80;63;77;30;210;170;8;20;120;33;90;12
80;100;75;34;230;180;8;24;124;44;90;12
80;160;75;36;230;180;8;24;124;45;90;12
80;200;80;54;290;230;8;30;162;69;110;12
80;250;80;54;290;200;8;30;162;69;110;12
100;1;96;14;205;170;4;16;122;16;110;10
100;2.5;96;14;205;170;4;16;122;16;110;10
100;6;96;16;205;170;4;16;122;15;110;10
100;10;96;20;215;180;8;16;128;19;110;12
100;16;96;20;215;180;8;16;130;21;110;12
100;25;96;24;230;190;8;20;132;25;110;12
100;40;96;26;230;190;8;20;138;30;110;12
100;63;94;32;250;200;8;24;140;36;110;12
100;100;92;38;265;210;8;27;146;50;110;12
100;160;92;40;265;210;8;27;146;51;110;12
100;200;102;66;360;292;8;36;208;100;135;12
100;250;102;66;360;235;8;36;208;98;135;14
125;1;121;14;235;200;8;16;148;16;135;10
125;2.5;121;14;235;200;8;16;148;16;135;10
125;6;121;18;235;200;8;16;148;15;135;10
125;10;121;22;245;210;8;16;156;26;135;12
125;16;121;22;245;210;8;16;156;26;135;12
125;25;121;26;270;220;8;24;160;30;135;12
125;40;120;28;270;220;8;24;160;28;135;12
125;63;118;36;295;240;8;27;172;50;135;12
125;100;112;42;310;250;8;30;180;61;135;12
125;160;112;44;310;250;8;30;180;60;135;14
125;200;130;76;385;318;12;36;234;88;170;14
125;250;130;76;385;275;12;36;234;86;170;16
150;1;146;14;260;225;8;16;172;15;161;12
150;2.5;146;14;260;225;8;16;172;15;161;12
150;6;146;18;260;225;8;16;172;16;161;12
150;10;146;22;280;240;8;20;180;26;161;12
150;16;146;22;280;240;8;20;180;26;161;12
150;25;146;28;300;250;8;24;186;31;161;12
150;40;145;30;300;250;8;24;186;29;161;12
150;63;142;38;340;280;8;30;206;58;161;12
