ДУ;Давление;Внутреннийдиаметр;Толщинафланца;НаружныйдиаметрD;ДиаметросиболтовD1;Кол-воболтов;Диаметрболтов;Диаметркольца;Толщинакольца
10;1;16;10;75;50;4;10;35;8
10;2.5;16;10;75;50;4;10;35;8
10;6;16;10;75;50;4;10;35;8
10;10;16;12;90;60;4;12;42;10
10;16;16;14;90;60;4;12;42;12
10;25;16;16;90;60;4;12;42;14
15;1;20;10;80;55;4;10;40;8
15;2.5;20;10;80;55;4;10;40;8
15;6;20;10;80;55;4;10;40;8
15;10;20;12;95;65;4;12;47;10
15;16;20;14;95;65;4;12;47;12
15;25;20;16;95;65;4;12;47;14
20;1;27;10;90;65;4;10;50;10
20;2.5;27;10;90;65;4;10;50;10
20;6;27;10;90;65;4;10;50;10
20;10;27;14;105;75;4;12;58;12
20;16;27;16;105;75;4;12;58;14
20;25;27;18;105;75;4;12;58;16
25;1;34;12;100;75;4;10;60;10
25;2.5;34;12;100;75;4;10;60;10
25;6;34;12;100;75;4;10;60;10
25;10;34;14;115;85;4;12;68;12
25;16;34;16;115;85;4;12;68;14
25;25;34;18;115;85;4;12;68;16
32;1;41;12;120;90;4;12;70;10
32;2.5;41;12;120;90;4;12;70;10
32;6;41;12;120;90;4;12;70;10
32;10;41;16;135;100;4;16;78;12
32;16;41;18;135;100;4;16;78;16
32;25;41;20;135;100;4;16;78;16
40;1;48;12;130;100;4;12;80;10
40;2.5;48;12;130;100;4;12;80;10
40;6;48;12;130;100;4;12;80;10
40;10;48;18;145;110;4;16;88;12
40;16;48;20;145;110;4;16;88;16
40;25;48;22;145;110;4;16;88;18
50;1;61;12;140;110;4;12;90;12
50;2.5;61;12;140;110;4;12;90;12
50;6;61;12;140;110;4;12;90;12
50;10;61;18;160;125;4;16;102;14
50;16;61;20;160;125;4;16;102;16
50;25;61;22;160;125;4;16;102;18
65;1;80;14;160;130;4;12;110;14
65;2.5;80;14;160;130;4;12;110;14
65;6;80;14;160;130;4;12;110;14
65;10;80;20;180;145;4;16;122;16
65;16;80;22;180;145;4;16;122;18
65;25;80;24;180;145;4;16;122;20
80;1;93;14;185;150;4;16;128;14
80;2.5;93;14;185;150;4;16;128;14
80;6;93;14;185;150;4;16;128;14
80;10;93;22;195;160;4;16;133;16
80;16;93;24;195;160;4;16;133;18
80;25;93;26;195;160;4;16;133;20
100;1;112;14;205;170;4;16;148;14
100;1;118;14;205;170;4;16;148;14
100;2.5;118;14;205;170;4;16;148;14
100;6;112;14;205;170;4;16;148;14
100;6;118;14;205;170;4;16;148;14
100;10;112;24;215;180;8;16;158;16
100;10;118;24;215;180;8;16;158;16
100;16;112;26;215;180;8;16;158;20
100;16;118;26;215;180;8;16;158;20
100;25;112;28;230;190;8;20;158;22
100;25;118;28;230;190;8;20;158;22
125;1;138;14;235;200;8;16;178;14
125;1;145;14;235;200;8;16;178;14
125;2.5;145;14;235;200;8;16;178;14
125;6;138;14;235;200;8;16;178;14
125;6;145;14;235;200;8;16;178;14
125;10;138;26;245;210;8;16;184;18
125;10;145;26;245;210;8;16;184;18
125;16;138;28;245;210;8;16;184;20
125;16;145;28;245;210;8;16;184;20
125;25;138;30;270;220;8;24;184;24
125;25;145;30;270;220;8;24;184;24
150;1;157;16;260;225;8;16;202;16
150;1;164;16;260;225;8;16;202;16
150;1;173;16;260;225;8;16;202;16
150;2.5;173;16;260;225;8;16;202;16
150;6;157;16;260;225;8;16;202;16
150;6;164;16;260;225;8;16;202;16
150;6;173;16;260;225;8;16;202;16
150;10;157;26;280;240;8;20;212;18
150;10;164;26;280;240;8;20;212;18
150;10;173;26;280;240;8;20;212;18
150;16;157;28;280;240;8;20;212;22
150;16;164;28;280;240;8;20;212;22
150;16;173;28;280;240;8;20;212;22
150;25;157;30;300;250;8;24;212;24
150;25;164;30;300;250;8;24;212;24
150;25;173;30;300;250;8;24;212;24
200;1;225;18;315;280;8;16;258;18
200;2.5;225;18;315;280;8;16;258;18
200;6;225;18;315;280;8;16;258;18
200;10;225;26;335;295;8;20;268;20
200;16;225;28;335;295;12;20;268;22
200;25;225;30;360;310;12;24;278;24
250;1;279;20;370;335;12;16;312;18
250;2.5;279;20;370;335;12;16;312;18
250;6;279;20;370;335;12;16;312;18
250;10;279;28;390;350;12;20;320;22
250;16;279;30;405;355;12;24;320;24
250;25;279;32;425;370;12;27;335;26
300;1;331;24;435;395;12;20;365;20
300;2.5;331;24;435;395;12;20;365;20
300;6;331;24;435;395;12;20;365;20
300;10;331;30;440;400;12;20;370;22
