Условный проход;Диаметр;Толщина стенки;Вес;Давление;Суффикс
20;32;1.9;0.165;10;SDR 17
32;40;2.4;0.258;10;SDR 17
40;50;3;0.456;10;SDR 17
50;63;3.8;0.724;10;SDR 17
65;75;4.5;1.02;10;SDR 17
80;90;5.4;1.48;10;SDR 17
100;110;6.6;2.19;10;SDR 17
100;125;7.4;2.81;10;SDR 17
125;140;8.3;3.52;10;SDR 17
150;160;9.5;4.6;10;SDR 17
150;180;10.7;5.83;10;SDR 17
200;200;11.9;7.18;10;SDR 17
200;225;13.4;9.12;10;SDR 17
250;250;14.8;11.2;10;SDR 17
250;280;16.6;14;10;SDR 17
300;315;18.7;17.8;10;SDR 17
350;355;21.1;22.6;10;SDR 17
400;400;23.7;28.6;10;SDR 17
500;450;26.7;36.3;10;SDR 17
500;500;29.7;44.8;10;SDR 17
600;560;33.2;56.1;10;SDR 17
600;630;37.4;71.2;10;SDR 17
700;710;42.1;90.3;10;SDR 17
800;800;47.4;114.5;10;SDR 17
900;900;53.3;144.7;10;SDR 17
1000;1000;59.3;178.9;10;SDR 17
