DN;PN;Внутренний диаметр flange_dnf;Толщина flange_t;Наружный диаметр;Диаметр оси болтов;Количество болтов;Диаметр болтов
10;1;15;10;75;50;4;10
10;2.5;15;10;75;50;4;10
10;6;15;12;75;50;4;10
10;10;15;12;90;60;4;12
10;16;15;14;90;60;4;12
10;25;15;16;90;60;4;12
15;1;19;10;80;55;4;10
15;2.5;19;10;80;55;4;10
15;6;19;12;80;55;4;10
15;10;19;12;95;65;4;12
15;16;19;14;95;65;4;12
15;25;19;16;95;65;4;12
20;1;26;12;90;65;4;10
20;2.5;26;12;90;65;4;10
20;6;26;14;90;65;4;10
20;10;26;14;105;75;4;12
20;16;26;16;105;75;4;12
20;25;26;18;105;75;4;12
25;1;33;12;100;75;4;10
25;2.5;33;12;100;75;4;10
25;6;33;14;100;75;4;10
25;10;33;14;115;85;4;12
25;16;33;18;115;85;4;12
25;25;33;18;115;85;4;12
32;1;39;12;120;90;4;12
32;2.5;39;12;120;90;4;12
32;6;39;15;120;90;4;12
32;10;39;16;135;100;4;16
32;16;39;18;135;100;4;16
32;25;39;20;135;100;4;16
40;1;46;13;130;100;4;12
40;2.5;46;13;130;100;4;12
40;6;46;16;130;100;4;12
40;10;46;18;145;110;4;16
40;16;46;20;145;110;4;16
40;25;46;22;145;110;4;16
50;1;59;13;140;110;4;12
50;2.5;59;13;140;110;4;12
50;6;59;16;140;110;4;12
50;10;59;18;160;125;4;16
50;16;59;22;160;125;4;16
50;25;59;24;160;125;4;16
65;1;78;14;160;130;4;12
65;2.5;78;14;160;130;4;12
65;6;78;16;160;130;4;12
65;10;78;20;180;145;4;16
65;16;78;24;180;145;4;16
65;25;78;24;180;145;8;16
80;1;91;14;185;150;4;16
80;2.5;91;14;185;150;4;16
80;6;91;18;185;150;4;16
80;10;91;20;195;160;4;16
80;16;91;24;195;160;4;16
80;25;91;26;195;160;8;16
100;1;110;14;205;170;4;16
100;1;110;14;205;170;4;16
100;2.5;110;14;205;170;4;16
100;2.5;110;14;205;170;4;16
100;6;110;18;205;170;4;16
