#	Sizes	G(kg/m)	h(mm)	b(mm)	tw(mm)	tf(mm)	r(mm)	A(cm2)	hi(mm)	d(mm)	Ix(cm4)	Wex(cm3)	Wplx(cm3)	ix(cm)	Iy(cm4)	Wey(cm3)	Wply(cm3)	iy(cm)
1	HEM 100	41.8	120	106	12	20	12	53.24	80	56	1143	190.4	235.8	4.63	399.2	75.31	116.3	2.74
2	HEM 120	52.1	140	126	12.5	21	12	66.41	98	74	2018	288.2	350.6	5.51	702.8	111.6	171.6	3.25
3	HEM 140	63.2	160	146	13	22	12	80.56	116	92	3291	411.4	493.8	6.39	1144	156.8	240.5	3.77
4	HEM 160	76.2	180	166	14	23	15	97.05	134	104	5098	566.5	674.6	7.25	1759	211.9	325.5	4.26
5	HEM 180	88.9	200	186	14.5	24	15	113.3	152	122	7483	748.3	883.4	8.13	2580	277.4	425.2	4.77
6	HEM 200	103	220	206	15	25	18	131.3	170	134	10640	967.4	1135	9	3651	354.5	543.2	5.27
7	HEM 240	157	270	248	18	32	21	199.6	206	164	24290	1799	2117	11.03	8153	657.5	1006	6.39
8	HEM 260	172	290	268	18	32.5	24	219.6	225	177	31310	2159	2524	11.94	10450	779.7	1192	6.9
9	HEM 280	189	310	288	18.5	33	24	240.2	244	196	39550	2551	2966	12.83	13160	914.1	1397	7.4
10	HEM 300	238	340	310	21	39	27	303.1	262	208	59200	3482	4078	13.98	19400	1252	1913	8
11	HEM 320	245	359	309	21	40	27	312	279	225	68130	3796	4435	14.78	19710	1276	1951	7.95
12	HEM 340	248	377	309	21	40	27	315.8	297	243	76370	4052	4718	15.55	19710	1276	1953	7.9
13	HEM 360	250	395	308	21	40	27	318.8	315	261	84870	4297	4989	16.32	19520	1268	1942	7.83
14	HEM 400	256	432	307	21	40	27	325.8	352	298	104100	4820	5571	17.88	19340	1260	1934	7.7
15	HEM 450	263	478	307	21	40	27	335.4	398	344	131500	5501	6331	19.8	19340	1260	1939	7.59
16	HEM 500	270	524	306	21	40	27	344.3	444	390	161900	6180	7094	21.69	19150	1252	1932	7.46
17	HEM 550	278	572	306	21	40	27	354.4	492	438	198000	6923	7933	23.64	19160	1252	1937	7.35
18	HEM 600	285	620	305	21	40	27	363.7	540	486	237400	7660	8772	25.55	18980	1244	1930	7.22
19	HEM 650	293	668	305	21	40	27	373.7	588	534	281700	8433	9657	27.45	18980	1245	1936	7.13
20	HEM 700	301	716	304	21	40	27	383	636	582	329300	9198	10540	29.32	18800	1237	1929	7.01
21	HEM 800	317	814	303	21	40	30	404.3	734	674	442600	10870	12490	33.09	18630	1230	1930	6.79
22	HEM 900	333	910	302	21	40	30	423.6	830	770	570400	12540	14440	36.7	18450	1222	1929	6.6
23	HEM 1000	349	1008	302	21	40	30	444.2	928	868	722300	14330	16570	40.32	18460	1222	1940	6.45
24	CUSTOM
