#	Name	h(mm)	b(mm)	s=t(mm)	r1	A(cm2)	g(kg/m)	ex(mm)	Ix(cm4)	Wx(cm3)	ix(cm)	Iy(cm4)	Wy(cm3)	iy(cm)
1	T20	20	20	3	3	1.12	0.88	5.8	0.38	0.27	0.58	0.20	0.20	0.42
2	T25	25	25	3.5	3.5	1.64	1.29	7.3	0.87	0.49	0.73	0.43	0.34	0.51
3	T30	30	30	4	4	2.26	1.77	8.5	1.72	0.80	0.87	0.87	0.58	0.62
4	T35	35	35	4.5	4.5	2.97	2.33	9.9	3.10	1.23	1.04	1.57	0.90	0.73
5	T40	40	40	5	5	3.77	2.96	11.2	5.28	1.84	1.18	2.58	1.29	0.83
6	T45	45	45	5.5	5.5	4.67	3.67	12.6	8.13	2.51	1.32	4.01	1.78	0.93
7	T50	50	50	6	6	5.66	4.44	13.9	12.1	3.36	1.46	6.06	2.42	1.03
8	T60	60	60	7	7	7.94	6.23	16.6	23.8	5.48	1.73	12.2	4.07	1.24
9	T70	70	70	8	8	10.6	8.32	19.4	44.5	8.79	2.05	22.1	6.32	1.44
10	T80	80	80	9	9	13.6	10.7	22.2	73.7	12.8	2.33	37.0	9.25	1.65
11	T90	90	90	10	10	17.1	13.4	24.8	119	18.2	2.64	58.5	13.0	1.85
12	T100	100	100	11	11	20.9	16.4	27.4	179	24.6	2.92	88.3	17.7	2.05
13	T120	120	120	13	13	29.6	23.2	32.8	366	42.0	3.51	178	29.7	2.45
14	T140	140	140	15	15	39.9	31.3	38.0	660	64.7	4.07	330	47.2	2.88
15	CUSTOM
