DN;D;D1;L;H;P;ves;art;ext
20;20;20;22;2;16;0.02;504 00 020 2;16
25;25;25;27;2;16;0.04;504 00 025 2;18.5
32;32;32;34;2;16;0.07;504 00 032 2;22
40;40;40;42;2;16;0.11;504 00 040 2;26
50;50;50;52;2;16;0.12;504 00 050 2;31
63;63;63;65;2;16;0.22;504 00 063 2;38
75;75;75;77;2;16;0.33;504 00 075 2;43.5
90;90;90;92;2;16;0.60;504 00 090 2;51
110;110;110;112;2;16;1.05;504 00 110 2;61
125;125;125;127;2;16;2.09;504 00 125 2;68.5
140;140;140;142;2;16;2.18;504 00 140 2;76
160;160;160;162;2;16;3.3;504 00 160 2;86
200;200;200;202;2;16;4.57;504 00 200 2;106
225;225;225;228;3;10;6.5;504 00 225 2;118.5
250;250;250;252;2;10;8.92;504 00 250 4;131
280;280;280;282;2;10;11.3;504 00 280 4;146
315;315;315;318;3;10;16.4;504 00 315 4;163.5
355;355;355;367;6.5;10;23.6;504 00 355 4;184
400;400;400;412;6;10;28.1;504 00 400 4;206
32;32;20;28;3;16;0.08;508 00 032020 2;22
32;32;25;28;3;16;0.08;508 00 032025 2;22
32;32;50;28;3;16;0.11;508 00 032050 2;22
40;40;20;34;6;16;0.13;508 00 040020 2;26
40;40;25;34;6;16;0.13;508 00 040025 2;26
40;40;32;34;6;16;0.13;508 00 040032 2;26
50;50;20;62;3;16;0.14;508 00 050020 2;28
50;50;25;62;3;16;0.14;508 00 050025 2;28
50;50;32;62;3;16;0.14;508 00 050032 2;28
50;50;40;62;3;16;0.14;508 00 050040 2;28
63;63;25;76;3.5;16;0.24;508 00 063025 2;28
63;63;32;76;3.5;16;0.24;508 00 063032 2;35
63;63;40;76;3.5;16;0.25;508 00 063040 2;35
63;63;50;76;3.5;16;0.29;508 00 063050 2;35
75;75;32;87;1;16;;508 00 075032 2;38.5
75;75;63;87;1;16;0.45;508 00 075063 2;38.5
90;90;63;102;1;16;0.64;508 00 090063 2;46
90;90;75;102;1;16;0.66;508 00 090075 2;46
110;110;50;122;1;16;;508 00 110050 2;56
110;110;63;122;1;16;0.75;508 00 110063 2;56
110;110;75;122;1;16;0.93;508 00 110075 2;56
110;110;90;122;1;16;0.98;508 00 110090 2;56
125;125;63;137;1.5;16;1.26;508 00 125063 2;64
125;125;90;137;1.5;16;1.58;508 00 125090 2;64
125;125;110;137;1.5;16;1.59;508 00 125110 2;64
140;140;110;152;2;16;2.27;508 00 140110 2;72
160;160;110;172;1;16;2.43;508 00 160110 2;81
200;200;110;212;7;16;4.03;508 00 200110 2;107
200;200;160;212;7;16;4.4;508 00 200160 2;107
225;225;110;237;7.5;10;4.32;508 00 225110 2;120
225;225;160;237;7.5;10;4.58;508 00 225160 2;120
250;250;110;262;7;10;7.75;508 00 250110 2;132
250;250;160;262;7;10;7.95;508 00 250160 2;132
250;250;200;262;7;10;8.15;508 00 250200 2;132
280;280;110;292;6;10;8.15;508 00 280110 5;146
280;280;160;292;6;10;8.15;508 00 280160 5;146
280;280;225;292;6;10;8.15;508 00 280225 5;146
315;315;110;292;10.5;10;14.2;508 00 315110 5;146
315;315;160;327;10.5;10;13.5;508 00 315160 2;168
315;315;225;327;10.5;10;14.1;508 00 315225 2;168
315;315;160;336;10.5;10;13.5;508 00 315160 2;164
315;315;225;336;10.5;10;14.1;508 00 315225 2;164
315;315;250;336;10.5;10;22.3;508 00 315250 2;164
315;315;280;336;10.5;10;19.9;508 00 315280 2;164
355;355;280;336;10.5;10;33.5;508 00 355280 5;164
355;355;315;304;10.5;10;30.1;508 00 355315 5;184
400;400;280;350;10.5;10;46.5;508 00 400280 5;184
400;400;315;304;10.5;10;43;508 00 400315 5;206
400;400;355;350;10.5;10;36.6;508 00 400355 5;206
