#	Sizes	G(kg/m)	h(mm)	b(mm)	tw(mm)	tf(mm)	r(mm)	A(cm2)	hi(mm)	d(mm)	Ix(cm4)	Wex(cm3)	Wplx(cm3)	ix(cm)	Iy(cm4)	Wey(cm3)	Wply(cm3)	iy(cm)
1	HEA 100	16.7	96	100	5	8	12	21.24	80	56	349.2	72.76	83.01	4.06	133.8	26.76	41.14	2.51
2	HEA 120	19.9	114	120	5	8	12	25.34	98	74	606.2	106.3	119.5	4.89	230.9	38.48	58.85	3.02
3	HEA 140	24.7	133	140	5.5	8.5	12	31.42	116	92	1033	155.4	173.5	5.73	389.3	55.62	84.85	3.52
4	HEA 160	30.4	152	160	6	9	15	38.77	134	104	1673	220.1	245.1	6.57	615.6	76.95	117.6	3.98
5	HEA 180	35.5	171	180	6	9.5	15	45.25	152	122	2510	293.6	324.9	7.45	924.6	102.7	156.5	4.52
6	HEA 200	42.3	190	200	6.5	10	18	53.83	170	134	3692	388.6	429.5	8.28	1336	133.6	203.8	4.98
7	HEA 220	50.5	210	220	7	11	18	64.34	188	152	5410	515.2	568.5	9.17	1955	177.7	270.6	5.51
8	HEA 240	60.3	230	240	7.5	12	21	76.84	206	164	7763	675.1	744.6	10.05	2769	230.7	351.7	6
9	HEA 260	68.2	250	260	7.5	12.5	24	86.82	225	177	10450	836.4	919.8	10.97	3668	282.1	430.2	6.5
10	HEA 280	76.4	270	280	8	13	24	97.26	244	196	13670	1013	1112	11.86	4763	340.2	518.1	7
11	HEA 300	88.3	290	300	8.5	14	27	112.5	262	208	18260	1260	1383	12.74	6310	420.6	641.2	7.49
12	HEA 320	97.6	310	300	9	15.5	27	124.4	279	225	22930	1479	1628	13.58	6985	465.7	709.7	7.49
13	HEA 340	105	330	300	9.5	16.5	27	133.5	297	243	27690	1678	1850	14.4	7436	495.7	755.9	7.46
14	HEA 360	112	350	300	10	17.5	27	142.8	315	261	33090	1891	2088	15.22	7887	525.8	802.3	7.43
15	HEA 400	125	390	300	11	19	27	159	352	298	45070	2311	2562	16.84	8564	570.9	872.9	7.34
16	HEA 450	140	440	300	11.5	21	27	178	398	344	63720	2896	3216	18.92	9465	631	965.5	7.29
17	HEA 500	155	490	300	12	23	27	197.5	444	390	86970	3550	3949	20.98	10370	691.1	1059	7.24
18	HEA 550	166	540	300	12.5	24	27	211.8	492	438	111900	4146	4622	22.99	10820	721.3	1107	7.15
19	HEA 600	178	590	300	13	25	27	226.5	540	486	141200	4787	5350	24.97	11270	751.4	1156	7.05
20	HEA 650	190	640	300	13.5	26	27	241.6	588	534	175200	5474	6136	26.93	11720	781.6	1205	6.97
21	HEA 700	204	690	300	14.5	27	27	260.5	636	582	215300	6241	7032	28.75	12180	811.9	1257	6.84
22	HEA 800	224	790	300	15	28	30	285.8	734	674	303400	7682	8699	32.58	12640	842.6	1312	6.65
23	HEA 900	252	890	300	16	30	30	320.5	830	770	422100	9485	10810	36.29	13550	903.2	1414	6.5
24	HEA 1000	272	990	300	16.5	31	30	346.8	928	868	553800	11190	12820	39.96	14000	933.6	1470	6.35
25	CUSTOM
