#	Sizes	G(kg/m)	h(mm)	b(mm)	tw(mm)	tf(mm)	r(mm)	A(cm2)	hi(mm)	d(mm)	Ix(cm4)	Wex(cm3)	Wplx(cm3)	ix(cm)	Iy(cm4)	Wey(cm3)	Wply(cm3)	iy(cm)
1	HEAA 100	12.2	91	100	4.2	5.5	12	15.6	80	56	236.5	51.98	58.36	3.89	92.06	18.41	28.44	2.43
2	HEAA 120	14.6	109	120	4.2	5.5	12	18.55	98	74	413.4	75.85	84.12	4.72	158.8	26.47	40.62	2.93
3	HEAA 140	18.1	128	140	4.3	6	12	23.02	116	92	719.5	112.4	123.8	5.59	274.8	39.26	59.93	3.45
4	HEAA 160	23.8	148	160	4.5	7	15	30.36	134	104	1283	173.4	190.4	6.5	478.7	59.84	91.36	3.97
5	HEAA 180	28.7	167	180	5	7.5	15	36.53	152	122	1967	235.6	258.2	7.34	730	81.11	123.6	4.47
6	HEAA 200	34.6	186	200	5.5	8	18	44.13	170	134	2944	316.6	347.1	8.17	1068	106.8	163.2	4.92
7	HEAA 220	40.4	205	220	6	8.5	18	51.46	188	152	4170	406.9	445.5	9	1510	137.3	209.3	5.42
8	HEAA 240	47.4	224	240	6.5	9	21	60.38	206	164	5835	521	570.6	9.83	2077	173.1	264.4	5.87
9	HEAA 260	54.1	244	260	6.5	9.5	24	68.97	225	177	7981	654.1	714.5	10.76	2788	214.5	327.7	6.36
10	HEAA 280	61.2	264	280	7	10	24	78.02	244	196	10560	799.8	873.1	11.63	3664	261.7	399.4	6.85
11	HEAA 300	69.8	283	300	7.5	10.5	27	88.91	262	208	13800	975.6	1065	12.46	4734	315.6	482.3	7.3
12	HEAA 320	74.2	301	300	8	11	27	94.58	279	225	16450	1093	1196	13.19	4959	330.6	505.7	7.24
13	HEAA 340	78.9	320	300	8.5	11.5	27	100.5	297	243	19550	1222	1341	13.95	5185	345.6	529.3	7.18
14	HEAA 360	83.7	339	300	9	12	27	106.6	315	261	23040	1359	1495	14.7	5410	360.7	553	7.12
15	HEAA 400	92.4	378	300	9.5	13	27	117.7	352	298	31250	1654	1824	16.3	5861	390.8	599.7	7.06
16	HEAA 450	99.7	425	300	10	13.5	27	127.1	398	344	41890	1971	2183	18.16	6088	405.8	624.4	6.92
17	HEAA 500	107	472	300	10.5	14	27	136.9	444	390	54640	2315	2576	19.98	6314	420.9	649.3	6.79
18	HEAA 550	120	522	300	11.5	15	27	152.8	492	438	72870	2792	3128	21.84	6767	451.1	698.6	6.65
19	HEAA 600	129	571	300	12	15.5	27	164.1	540	486	91870	3218	3623	23.66	6993	466.2	724.5	6.53
20	HEAA 650	138	620	300	12.5	16	27	175.8	588	534	113900	3676	4160	25.46	7221	481.4	750.7	6.41
21	HEAA 700	150	670	300	13	17	27	190.9	636	582	142700	4260	4840	27.34	7673	511.5	799.7	6.34
22	HEAA 800	172	770	300	14	18	30	218.5	734	674	208900	5426	6225	30.92	8134	542.2	856.6	6.1
23	HEAA 900	198	870	300	15	20	30	252.2	830	770	301100	6923	7999	34.55	9041	602.8	957.7	5.99
24	HEAA 1000	222	970	300	16	21	30	282.2	928	868	406500	8380	9777	37.95	9501	633.4	1016	5.8
25	CUSTOM
