#	Sizes	G(kg/m)	h(mm)	b(mm)	tw(mm)	tf(mm)	r(mm)	A(cm2)	hi(mm)	d(mm)	Ix(cm4)	Wex(cm3)	Wplx(cm3)	ix(cm)	Iy(cm4)	Wey(cm3)	Wply(cm3)	iy(cm)
1	IPE 80	6	80	46	3.8	5.2	5	7.64	69.6	59.6	80.14	20.03	23.22	3.24	8.49	3.69	5.82	1.05
2	IPE 100	8.1	100	55	4.1	5.7	7	10.32	88.6	74.6	171	34.2	39.41	4.07	15.92	5.79	9.15	1.24
3	IPE 120	10.4	120	64	4.4	6.3	7	13.21	107.4	93.4	317.8	52.96	60.73	4.9	27.67	8.65	13.58	1.45
4	IPE 140	12.9	140	73	4.7	6.9	7	16.43	126.2	112.2	541.2	77.32	88.34	5.74	44.92	12.31	19.25	1.65
5	IPE 160	15.8	160	82	5	7.4	9	20.09	145.2	127.2	869.3	108.7	123.9	6.58	68.31	16.66	26.1	1.84
6	IPE 180	18.8	180	91	5.3	8	9	23.95	164	146	1317	146.3	166.4	7.42	100.9	22.16	34.6	2.05
7	IPE 200	22.4	200	100	5.6	8.5	12	28.48	183	159	1943	194.3	220.6	8.26	142.4	28.47	44.61	2.24
8	IPE 220	26.2	220	110	5.9	9.2	12	33.37	201.6	177.6	2772	252	285.4	9.11	204.9	37.25	58.11	2.48
9	IPE 240	30.7	240	120	6.2	9.8	15	39.12	220.4	190.4	3892	324.3	366.6	9.97	283.6	47.27	73.92	2.69
10	IPE 270	36.1	270	135	6.6	10.2	15	45.94	249.6	219.6	5790	428.9	484	11.23	419.9	62.2	96.95	3.02
11	IPE 300	42.2	300	150	7.1	10.7	15	53.81	278.6	248.6	8356	557.1	628.4	12.46	603.8	80.5	125.2	3.35
12	IPE 330	49.1	330	160	7.5	11.5	18	62.61	307	271	11770	713.1	804.3	13.71	788.1	98.52	153.7	3.55
13	IPE 360	57.1	360	170	8	12.7	18	72.73	334.6	298.6	16270	903.6	1019	14.95	1043	122.8	191.1	3.79
14	IPE 400	66.3	400	180	8.6	13.5	21	84.46	373	331	23130	1156	1307	16.55	1318	146.4	229	3.95
15	IPE 450	77.6	450	190	9.4	14.6	21	98.82	420.8	378.8	33740	1500	1702	18.48	1676	176.4	276.4	4.12
16	IPE 500	90.7	500	200	10.2	16	21	115.5	468	426	48200	1928	2194	20.43	2142	214.2	335.9	4.31
17	IPE 550	106	550	210	11.1	17.2	24	134.4	515.6	467.6	67120	2441	2787	22.35	2668	254.1	400.5	4.45
18	IPE 600	122	600	220	12	19	24	156	562	514	92080	3069	3512	24.3	3387	307.9	485.6	4.66
19	IPE 750x137	137	753	263	11.5	17	17	174.6	719	685	159900	4246	4865	30.26	5166	392.8	614.1	5.44
20	IPE 750x147	147	753	265	13.2	17	17	187.5	719	685	166100	4411	5110	29.76	5289	399.2	630.8	5.31
21	IPE 750x173	173	762	267	14.4	21.6	17	221.3	718.8	684.8	205800	5402	6218	30.49	6873	514.9	809.9	5.57
22	IPE 750x196	196	770	268	15.6	25.4	17	250.8	719.2	685.2	240300	6241	7174	30.95	8175	610.1	958.8	5.71
23	CUSTOM
