#	Sizes	G(kg/m)	h(mm)	b(mm)	tw(mm)	tf(mm)	r1(mm)	r2(mm)	A(cm2)	d(mm)	Ix(cm4)	Wex(cm3)	Wplx(cm3)	ix(cm)	Iy(cm4)	Wey(cm3)	Wply(cm3)	iy(cm)
1	IPN 80	5.94	80	42	3.9	5.9	3.9	2.3	7.58	59	77.8	19.5	22.8	3.2	6.29	3	5	0.91
2	IPN 100	8.34	100	50	4.5	6.8	4.5	2.7	10.6	75.7	171	34.2	39.8	4.01	12.2	4.88	8.1	1.07
3	IPN 120	11.1	120	58	5.1	7.7	5.1	3.1	14.2	92.4	328	54.7	63.6	4.81	21.5	7.41	12.4	1.23
4	IPN 140	14.3	140	66	5.7	8.6	5.7	3.4	18.3	109.1	573	81.9	95.4	5.61	35.2	10.7	17.9	1.4
5	IPN 160	17.9	160	74	6.3	9.5	6.3	3.8	22.8	125.8	935	117	136	6.4	54.7	14.8	24.9	1.55
6	IPN 180	21.9	180	82	6.9	10.4	6.9	4.1	27.9	142.4	1450	161	187	7.2	81.3	19.8	33.2	1.71
7	IPN 200	26.2	200	90	7.5	11.3	7.5	4.5	33.4	159.1	2140	214	250	8	117	26	43.5	1.87
8	IPN 220	31.1	220	98	8.1	12.2	8.1	4.9	39.5	175.8	3060	278	324	8.8	162	33.1	55.7	2.02
9	IPN 240	36.2	240	106	8.7	13.1	8.7	5.2	46.1	192.5	4250	354	412	9.59	221	41.7	70	2.2
10	IPN 260	41.9	260	113	9.4	14.1	9.4	5.6	53.3	208.9	5740	442	514	10.4	288	51	85.9	2.32
11	IPN 280	47.9	280	119	10.1	15.2	10.1	6.1	61	225.1	7590	542	632	11.1	364	61.2	103	2.45
12	IPN 300	54.2	300	125	10.8	16.2	10.8	6.5	69	241.6	9800	653	762	11.9	451	72.2	121	2.56
13	IPN 320	61	320	131	11.5	17.3	11.5	6.9	77.7	257.9	12510	782	914	12.7	555	84.7	143	2.67
14	IPN 340	68	340	137	12.2	18.3	12.2	7.3	86.7	274.3	15700	923	1080	13.5	674	98.4	166	2.8
15	IPN 360	76.1	360	143	13	19.5	13	7.8	97	290.2	19610	1090	1276	14.2	818	114	194	2.9
16	IPN 380	84	380	149	13.7	20.5	13.7	8.2	107	306.7	24010	1260	1482	15	975	131	221	3.02
17	IPN 400	92.4	400	155	14.4	21.6	14.4	8.6	118	322.9	29210	1460	1714	15.7	1160	149	253	3.13
18	IPN 450	115	450	170	16.2	24.3	16.2	9.7	147	363.6	45850	2040	2400	17.7	1730	203	345	3.43
19	IPN 500	141	500	185	18	27	18	10.8	179	404.3	68740	2750	3240	19.6	2480	268	456	3.72
20	IPN 550	166	550	200	19	30	19	11.9	212	445.6	99180	3610	4240	21.6	3490	349	592	4.02
21	CUSTOM
