#-#	Sizes	h=b(mm)	t(mm)	G(kg/m)	r1(mm)	r2(mm)	A(cm2)	Ix=Iy(cm4)	Wex=Wey(cm3)	ix=iy(cm)	Iu(cm4)	iu(cm)	Iv(cm4)	iv(cm)
1-1	L 20x20	20	2	0	3.5	2	0	0	0	0	0	0	0	0
2	L 20x20	20	2.5	0	3.5	2	0	0	0	0	0	0	0	0
3	L 20x20	20	3	0.882	3.5	2	0	0	0	0	0	0	0	0
4	L 20x20	20	4	1.14	3.5	2	0	0	0	0	0	0	0	0
5-2	L 25x25	25	2	0	3.5	2	0	0	0	0	0	0	0	0
6	L 25x25	25	2.5	0	3.5	2	0	0	0	0	0	0	0	0
7	L 25x25	25	3	1.12	3.5	2	0	0	0	0	0	0	0	0
8	L 25x25	25	4	1.45	3.5	2	0	0	0	0	0	0	0	0
9	L 25x25	25	4.5	0	3.5	2	0	0	0	0	0	0	0	0
10	L 25x25	25	5	1.78	3.5	2	0	0	0	0	0	0	0	0
11	L 25x25	25	6	0	3.5	2	0	0	0	0	0	0	0	0
12-3	L 30x30	30	2	0	5	2.5	0	0	0	0	0	0	0	0
13	L 30x30	30	2.5	0	5	2.5	0	0	0	0	0	0	0	0
14	L 30x30	30	3	1.36	5	2.5	0	0	0	0	0	0	0	0
15	L 30x30	30	3.5	0	5	2.5	0	0	0	0	0	0	0	0
16	L 30x30	30	4	1.78	5	2.5	0	0	0	0	0	0	0	0
17	L 30x30	30	5	2.18	5	2.5	0	0	0	0	0	0	0	0
18	L 30x30	30	6	0	5	2.5	0	0	0	0	0	0	0	0
19-4	L 35x35	35	2.5	0	5	2.5	0	0	0	0	0	0	0	0
20	L 35x35	35	3	0	5	2.5	0	0	0	0	0	0	0	0
21	L 35x35	35	3.5	0	5	2.5	0	0	0	0	0	0	0	0
22	L 35x35	35	4	0	5	2.5	0	0	0	0	0	0	0	0
23	L 35x35	35	4.5	0	5	2.5	0	0	0	0	0	0	0	0
24	L 35x35	35	5	0	5	2.5	0	0	0	0	0	0	0	0
25	L 35x35	35	6	0	5	2.5	0	0	0	0	0	0	0	0
26-5	L 40x40	40	3	0	6	3	0	0	0	0	0	0	0	0
27	L 40x40	40	3.5	0	6	3	0	0	0	0	0	0	0	0
28	L 40x40	40	4	0	6	3	0	0	0	0	0	0	0	0
29	L 40x40	40	5	0	6	3	0	0	0	0	0	0	0	0
30	L 40x40	40	6	0	6	3	0	0	0	0	0	0	0	0
31	L 40x40	40	7	0	6	3	0	0	0	0	0	0	0	0
32	L 40x40	40	8	0	6	3	0	0	0	0	0	0	0	0
33-6	L 45x45	45	3	0	7	3.5	0	0	0	0	0	0	0	0
34	L 45x45	45	4	0	7	3.5	0	0	0	0	0	0	0	0
35	L 45x45	45	4.5	0	7	3.5	0	0	0	0	0	0	0	0
36	L 45x45	45	5	0	7	3.5	0	0	0	0	0	0	0	0
37	L 45x45	45	6	0	7	3.5	0	0	0	0	0	0	0	0
38	L 45x45	45	7	0	7	3.5	0	0	0	0	0	0	0	0
39	L 45x45	45	8	0	7	3.5	0	0	0	0	0	0	0	0
