#-#	Sizes	h(mm)	b(mm)	t(mm)	G(kg/m)	r1(mm)	r2(mm)	A(cm2)	Ix(cm4)	Wex=Wey(cm3)	ix=iy(cm)	Iy(cm4)	Wey(cm3)	iy(cm)	Iu(cm4)	iu(cm)	Iv(cm4)	iv(cm)
1-1	L 30x20	30	20	3	0	3.5	2	0	0	0	0	0	0	0	0	0	0	0
2	L 30x20	30	20	4	0	3.5	2	0	0	0	0	0	0	0	0	0	0	0
3	L 30x20	30	20	5	0	3.5	2	0	0	0	0	0	0	0	0	0	0	0
4-2	L 40x20	40	20	3	0	3.5	2	0	0	0	0	0	0	0	0	0	0	0
5	L 40x20	40	20	4	0	3.5	2	0	0	0	0	0	0	0	0	0	0	0
6	L 40x20	40	20	5	0	4	2	0	0	0	0	0	0	0	0	0	0	0
7	L 40x20	40	20	6	0	4	2	0	0	0	0	0	0	0	0	0	0	0
8-3	L 45x30	45	30	3	0	4.5	2.25	0	0	0	0	0	0	0	0	0	0	0
9	L 45x30	45	30	4	0	4.5	2.25	0	0	0	0	0	0	0	0	0	0	0
10	L 45x30	45	30	5	0	4.5	2.25	0	0	0	0	0	0	0	0	0	0	0
11-4	L 50x30	50	30	5	0	4.5	2.25	0	0	0	0	0	0	0	0	0	0	0
12-5	L 50x40	50	40	3	0	4.5	2.25	0	0	0	0	0	0	0	0	0	0	0
13	L 50x40	50	40	4	0	4.5	2.25	0	0	0	0	0	0	0	0	0	0	0
14	L 50x40	50	40	5	0	4.5	2.25	0	0	0	0	0	0	0	0	0	0	0
15	L 50x40	50	40	6	0	4.5	2.25	0	0	0	0	0	0	0	0	0	0	0
16-6	L 60x30	60	30	3	0	6	3	0	0	0	0	0	0	0	0	0	0	0
17	L 60x30	60	30	5	0	6	3	0	0	0	0	0	0	0	0	0	0	0
18	L 60x30	60	30	6	0	6	3	0	0	0	0	0	0	0	0	0	0	0
19	L 60x30	60	30	7	0	6	3	0	0	0	0	0	0	0	0	0	0	0
20-7	L 60x40	60	40	3	0	6	3	0	0	0	0	0	0	0	0	0	0	0
21	L 60x40	60	40	4	0	6	3	0	0	0	0	0	0	0	0	0	0	0
