#	Sizes	G(kg/m)	h(mm)	b(mm)	tw(mm)	tf(mm)	r1(mm)	r2(mm)	A(cm2)	d(mm)	Ix(cm4)	Wex(cm3)	Wplx(cm3)	ix(cm)	Iy(cm4)	Wey(cm3)	Wply(cm3)	iy(cm)
1	UPN 80	8.64	80	45	6	8	8	4	11	46	106	26.5	31.8	3.1	19.4	6.36	12.1	1.33
2	UPN 100	10.6	100	50	6	8.5	8.5	4.5	13.5	64	206	41.2	49	3.91	29.3	8.49	16.2	1.47
3	UPN 120	13.4	120	55	7	9	9	4.5	17	82	364	60.7	72.6	4.62	43.2	11.1	21.2	1.59
4	UPN 140	16	140	60	7	10	10	5	20.4	98	605	86.4	103	5.45	62.7	14.8	28.3	1.75
5	UPN 160	18.8	160	65	7.5	10.5	10.5	5.5	24	115	925	116	138	6.21	85.3	18.3	35.2	1.89
6	UPN 180	22	180	70	8	11	11	5.5	28	133	1350	150	179	6.95	114	22.4	42.9	2.02
7	UPN 200	25.3	200	75	8.5	11.5	11.5	6	32.2	151	1910	191	228	7.7	148	27	51.8	2.14
8	UPN 220	29.4	220	80	9	12.5	12.5	6.5	37.4	167	2690	245	292	8.48	197	33.6	64.1	2.3
9	UPN 240	33.2	240	85	9.5	13	13	6.5	42.3	184	3600	300	358	9.22	248	39.6	75.7	2.42
10	UPN 260	37.9	260	90	10	14	14	7	48.3	200	4820	371	442	9.99	317	47.7	91.6	2.56
11	UPN 280	41.8	280	95	10	15	15	7.5	53.3	216	6280	448	532	10.9	399	57.2	109	2.74
12	UPN 300	46.2	300	100	10	16	16	8	58.8	232	8030	535	632	11.7	495	67.8	130	2.9
13	UPN 320	59.5	320	100	14	17.5	17.5	8.75	75.8	246	10870	679	826	12.1	597	80.6	152	2.81
14	UPN 350	60.6	350	100	14	16	16	8	77.3	282	12840	734	918	12.9	570	75	143	2.72
15	UPN 380	63.1	380	102	13.5	16	16	8	80.4	313	15760	829	1014	14	615	78.7	148	2.77
16	UPN 400	71.8	400	110	14	18	18	9	91.5	324	20350	1020	1240	14.9	846	102	190	3.04
17	CUSTOM
