#	Sizes	G(kg/m)	h(mm)	b(mm)	tw(mm)	tf(mm)	r1(mm)	r2(mm)	A(cm2)	d(mm)	Ix(cm4)	Wex(cm3)	Wplx(cm3)	ix(cm)	Iy(cm4)	Wey(cm3)	Wply(cm3)	iy(cm)
1	14С	0.017	140.000	80.000	5.500	9.100	7.500	3.800	21.500		712.000	102.000		57.500	64.800	16.200		17.400
2	18М	0.026	180.000	90.000	7.000	12.000	9.000	3.500	32.900		1760.000	196.000		73.200	130.000	28.900		19.900
3	20С	0.028	200.000	100.000	7.000	11.400	9.000	4.500	35.600		2370.000	237.000		81.600	159.000	31.800		21.100
4	20Са	0.031	200.000	102.000	9.000	11.400	9.000	4.500	39.600		2500.000	250.000		79.500	170.000	33.300		20.700
5	22С	0.033	220.000	110.000	7.500	12.300	9.500	4.800	42.100		3400.000	310.000		90.000	228.000	41.500		23.200
6	24М	0.038	240.000	110.000	8.200	14.000	10.500	4.000	48.700		4640.000	387.000		97.500	276.000	50.200		23.800
7	27С	0.043	270.000	122.000	8.500	13.700	10.500	5.300	51.500		6549.999	485.000		110.000	346.000	56.700		25.200
8	27Са	0.047	270.000	124.000	10.500	13.700	10.500	5.300	59.900		6870.000	507.000		107.000	366.000	59.000		24.700
9	30М	0.050	300.000	130.000	9.000	15.000	12.000	6.000	64.000		9499.999	633.000		122.000	480.000	73.900		27.400
10	36М	0.058	360.000	130.000	9.500	16.000	14.000	6.000	73.800		15339.998	852.000		144.000	518.000	79.700		26.500
11	36С	0.071	350.000	140.000	11.000	15.800	12.000	6.000	90.900		17359.998	964.000		138.000	618.000	88.300		26.100
12	45М	0.078	450.000	150.000	10.500	18.000	16.000	7.000	98.800		31899.996	1420.000		180.000	892.000	119.000		30.000
13	CUSTOM
