#	Sizes	G(kg/m)	h(mm)	b(mm)	tw(mm)	tf(mm)	r1(mm)	r2(mm)	A(cm2)	d(mm)	Ix(cm4)	Wex(cm3)	Wplx(cm3)	ix(cm)	Iy(cm4)	Wey(cm3)	Wply(cm3)	iy(cm)
1	5У	5	50.000	32.000	4.400	7.000	6.000	2.500	6.160	24	22.800	9.100		19.200	5.610	2.750		9.500
2	6.5У	6	65.000	36.000	4.400	7.200	6.000	2.500	7.510	38.6	48.600	15.000		25.400	8.700	3.680		10.800
3	8У	7	80.000	40.000	4.500	7.400	6.500	2.500	8.980	52.2	89.400	22.400		31.600	12.800	4.750		11.900
4	10У	9	100.000	46.000	4.500	7.600	7.000	3.000	10.900	70.8	174.000	34.800		39.900	20.400	6.460		13.700
5	12У	10	120.000	52.000	4.800	7.800	7.500	3.000	13.300	89.4	304.000	50.600		47.800	31.200	8.520		15.300
6	14У	12	140.000	58.000	4.900	8.100	8.000	3.000	15.600	107.8	491.000	70.200		56.000	45.400	11.000		17.000
7	16У	14	160.000	64.000	5.000	8.400	8.500	3.500	18.100	126.2	747.000	93.400		64.200	63.300	13.800		18.700
8	16aУ	15	160.000	68.000	5.000	9.000	8.500	3.500	19.500	125	823.000	103.000		64.900	78.800	16.400		20.100
9	18У	16	180.000	70.000	5.100	8.700	9.000	3.500	20.700	144.6	1090.000	121.000		72.400	86.000	17.000		20.400
10	18aУ	17	180.000	74.000	5.100	9.300	9.000	3.500	22.200	143.4	1190.000	132.000		73.200	105.000	20.000		21.800
11	20У	18	200.000	76.000	5.200	9.000	9.500	4.000	23.400	163	1520.000	152.000		80.700	113.000	20.500		22.000
12	22У	21	220.000	82.000	5.400	9.500	10.000	4.000	26.700	181	2110.000	192.000		88.900	151.000	25.100		23.700
13	24У	24	240.000	90.000	5.600	10.000	10.500	4.000	30.600	199	2900.000	242.000		97.300	208.000	31.600		26.000
14	27У	28	270.000	95.000	6.000	10.500	11.000	4.500	35.200	227	4160.000	308.000		109.000	262.000	37.300		27.300
15	30У	32	300.000	100.000	6.500	11.000	12.000	5.000	40.500	254	5810.000	387.000		120.000	327.000	43.600		28.400
16	33У	36	330.000	105.000	7.000	11.700	13.000	5.000	46.500	280.6	7979.999	484.000		131.000	410.000	51.800		29.700
17	36У	42	360.000	110.000	7.500	12.600	14.000	6.000	53.400	306.8	10819.999	601.000		142.000	513.000	61.700		31.000
18	40У	48	400.000	115.000	8.000	13.500	15.000	6.000	61.500	343	15219.998	761.000		157.000	642.000	73.400		32.300
19	CUSTOM
