ГОСТ 10704-91;Труба электросварная прямошовная;Вес;D;s
1;10x1;0.222;10;1
2;10x1.2;0.26;10;1.2
3;10.2x1;0.227;10.2;1
4;10.2x1.2;0.266;10.2;1.2
5;12x1;0.271;12;1
6;12x1.2;0.32;12;1.2
7;12x1.4;0.366;12;1.4
8;12x1.5;0.388;12;1.5
9;12x1.6;0.41;12;1.6
10;13x1;0.296;13;1
11;13x1.2;0.349;13;1.2
12;13x1.4;0.401;13;1.4
13;13x1.5;0.425;13;1.5
14;13x1.6;0.45;13;1.6
15;14x1;0.321;14;1
16;14x1.2;0.379;14;1.2
17;14x1.4;0.435;14;1.4
18;14x1.5;0.462;14;1.5
19;14x1.6;0.489;14;1.6
20;15x1;0.345;15;1
21;15x1.2;0.408;15;1.2
22;15x1.4;0.47;15;1.4
23;15x1.5;0.499;15;1.5
24;15x1.6;0.529;15;1.6
25;16x1;0.37;16;1
26;16x1.2;0.438;16;1.2
27;16x1.4;0.504;16;1.4
28;16x1.5;0.536;16;1.5
29;16x1.6;0.568;16;1.6
30;17x1;0.395;17;1
31;17x1.2;0.468;17;1.2
32;17x1.4;0.539;17;1.4
33;17x1.5;0.573;17;1.5
34;17x1.6;0.608;17;1.6
35;18x1;0.419;18;1
36;18x1.2;0.497;18;1.2
37;18x1.4;0.573;18;1.4
38;18x1.5;0.61;18;1.5
39;18x1.6;0.719;18;1.6
40;18x1.8;0.789;18;1.8
41;19x1;0.444;19;1
42;19x1.2;0.527;19;1.2
43;19x1.4;0.608;19;1.4
44;19x1.5;0.647;19;1.5
45;19x1.6;0.687;19;1.6
46;19x1.8;0.764;19;1.8
47;19x2;0.838;19;2
48;20x1;0.469;20;1
49;20x1.2;0.556;20;1.2
50;20x1.4;0.642;20;1.4
51;20x1.5;0.684;20;1.5
52;20x1.6;0.726;20;1.6
53;20x1.8;0.808;20;1.8
54;20x2;0.888;20;2
55;21.3x1;0.501;21.3;1
56;21.3x1.2;0.595;21.3;1.2
57;21.3x1.4;0.687;21.3;1.4
58;21.3x1.5;0.732;21.3;1.5
59;21.3x1.6;0.777;21.3;1.6
60;21.3x1.8;0.866;21.3;1.8
61;21.3x2;0.952;21.3;2
62;22x1;0.518;22;1
63;22x1.2;0.616;22;1.2
64;22x1.4;0.711;22;1.4
65;22x1.5;0.758;22;1.5
66;22x1.6;0.805;22;1.6
67;22x1.8;0.897;22;1.8
68;22x2;0.986;22;2
69;23x1;0.543;23;1
70;23x1.2;0.645;23;1.2
71;23x1.4;0.746;23;1.4
72;23x1.5;0.795;23;1.5
73;23x1.6;0.844;23;1.6
74;23x1.8;0.941;23;1.8
75;23x2;1.04;23;2
76;23x2.2;1.13;23;2.2
77;23x2.5;1.26;23;2.5
78;24x1;0.567;24;1
79;24x1.2;0.675;24;1.2
80;24x1.4;0.78;24;1.4
81;24x1.5;0.832;24;1.5
82;24x1.6;0.884;24;1.6
83;24x1.8;0.985;24;1.8
84;24x2;1.09;24;2
85;24x2.2;1.18;24;2.2
86;24x2.5;1.33;24;2.5
87;25x1;0.592;25;1
88;25x1.2;0.704;25;1.2
89;25x1.4;0.815;25;1.4
90;25x1.5;0.869;25;1.5
91;25x1.6;0.923;25;1.6
92;25x1.8;1.03;25;1.8
93;25x2;1.13;25;2
94;25x2.2;1.24;25;2.2
95;25x2.5;1.39;25;2.5
96;26x1;0.617;26;1
97;26x1.2;0.734;26;1.2
98;26x1.4;0.849;26;1.4
99;26x1.5;0.906;26;1.5
100;26x1.6;0.963;26;1.6
101;26x1.8;1.07;26;1.8
102;26x2;1.18;26;2
103;26x2.2;1.29;26;2.2
104;26x2.5;1.45;26;2.5
105;27x1;0.641;27;1
106;27x1.2;0.764;27;1.2
107;27x1.4;0.884;27;1.4
108;27x1.5;0.943;27;1.5
109;27x1.6;1;27;1.6
110;27x1.8;1.12;27;1.8
111;27x2;1.23;27;2
112;27x2.2;1.35;27;2.2
113;27x2.5;1.51;27;2.5
114;28x1;0.666;28;1
115;28x1.2;0.793;28;1.2
116;28x1.4;0.918;28;1.4
117;28x1.5;0.98;28;1.5
118;28x1.6;1.04;28;1.6
119;28x1.8;1.16;28;1.8
120;28x2;1.28;28;2
121;28x2.2;1.4;28;2.2
122;28x2.5;1.57;28;2.5
123;30x1;0.715;30;1
124;30x1.2;0.852;30;1.2
125;30x1.4;0.987;30;1.4
126;30x1.5;1.05;30;1.5
127;30x1.6;1.12;30;1.6
128;30x1.8;1.25;30;1.8
129;30x2;1.38;30;2
130;30x2.2;1.51;30;2.2
131;30x2.5;1.7;30;2.5
132;32x1;0.765;32;1
133;32x1.2;0.911;32;1.2
134;32x1.4;1.06;32;1.4
135;32x1.5;1.13;32;1.5
136;32x1.6;1.2;32;1.6
137;32x1.8;1.34;32;1.8
138;32x2;1.48;32;2
139;32x2.2;1.62;32;2.2
140;32x2.5;1.82;32;2.5
141;32x2.8;2.02;32;2.8
142;32x3;2.15;32;3
143;33x1;0.789;33;1
144;33x1.2;0.941;33;1.2
145;33x1.4;1.09;33;1.4
146;33x1.5;1.17;33;1.5
147;33x1.6;1.24;33;1.6
148;33x1.8;1.38;33;1.8
149;33x2;1.53;33;2
150;33x2.2;1.67;33;2.2
151;33x2.5;1.88;33;2.5
152;33x2.8;2.09;33;2.8
153;33x3;2.22;33;3
154;33.7x1.2;0.962;33.7;1.2
155;33.7x1.4;1.12;33.7;1.4
156;33.7x1.5;1.19;33.7;1.5
157;33.7x1.6;1.27;33.7;1.6
158;33.7x1.8;1.42;33.7;1.8
159;33.7x2;1.56;33.7;2
160;33.7x2.2;1.71;33.7;2.2
161;33.7x2.5;1.92;33.7;2.5
162;33.7x2.8;2.13;33.7;2.8
163;33.7x3;2.27;33.7;3
164;35x1.2;1;35;1.2
165;35x1.4;1.16;35;1.4
166;35x1.5;1.24;35;1.5
167;35x1.6;1.32;35;1.6
168;35x1.8;1.47;35;1.8
169;35x2;1.63;35;2
170;35x2.2;1.78;35;2.2
171;35x2.5;2;35;2.5
172;35x2.8;2.22;35;2.8
173;35x3;2.37;35;3
174;36x1.2;1.03;36;1.2
175;36x1.4;1.19;36;1.4
176;36x1.5;1.28;36;1.5
177;36x1.6;1.36;36;1.6
178;36x1.8;1.52;36;1.8
179;36x2;1.68;36;2
180;36x2.2;1.83;36;2.2
181;36x2.5;2.07;36;2.5
182;36x2.8;2.29;36;2.8
183;36x3;2.44;36;3
184;38x1.2;1.09;38;1.2
185;38x1.4;1.26;38;1.4
186;38x1.5;1.35;38;1.5
187;38x1.6;1.44;38;1.6
188;38x1.8;1.61;38;1.8
189;38x2;1.78;38;2
190;38x2.2;1.94;38;2.2
191;38x2.5;2.19;38;2.5
192;38x2.8;2.43;38;2.8
193;38x3;2.59;38;3
194;40x1.2;1.15;40;1.2
195;40x1.4;1.33;40;1.4
196;40x1.5;1.42;40;1.5
197;40x1.6;1.52;40;1.6
198;40x1.8;1.7;40;1.8
199;40x2;1.87;40;2
200;40x2.2;2.05;40;2.2
