DN;Dvn;P;Dnar;Db;t;ves;art;ext
16;16;16;22;34.0;7;0.012;512 00 016 2;14.0
20;20;16;27;34.0;7;0.009;512 00 020 2;16.0
25;25;16;33;41.0;7;0.01;512 00 025 2;19.0
32;32;16;41;50.0;7;0.02;512 00 032 2;22.0
40;40;16;50;61.0;8;0.04;512 00 040 2;26.0
50;50;16;60;73.0;8;0.06;512 00 050 2;31.0
63;63;16;77;91.0;9;0.09;512 00 063 2;38.0
75;75;16;90;106.0;10;0.16;512 00 075 2;43.5
90;90;16;107;125.0;11;0.23;512 00 090 2;51.0
110;110;16;129;150.0;12;0.41;512 00 110 2;61.0
125;125;16;147;170.0;13;0.60;512 00 125 2;69.0
140;140;16;164;188.0;14;0.78;512 00 140 2;76.0
160;160;16;188;213.0;16;1.10;512 00 160 2;86.0
200;200;16;230;255.0;18;1.45;512 00 200 2;106.0
225;225;16;245;274.0;24;2.06;512 00 225 2;120.0
250;250;10;269;303.0;20;2.75;512 00 250 2;131.0
280;280;10;304;329.0;20;3.05;512 00 280 2;146.0
315;315;10;341;346.0;20;3.95;512 00 315 2;164.0
355;355;10;384;430.0;28;5.7;512 00 355 5;184.0
400;400;4;450;482.0;25;7.05;512 00 400 4;206.0
