Условныйпроход;Диаметр;Толщинастенки;Вес;Давление;Суффикс
25;25;1.5;0.165;10;100100251
32;32;1.6;0.241;10;100100321
40;40;1.9;0.353;10;100100401
50;50;2.4;0.561;10;100100501
63;63;3;0.871;10;100100631
75;75;3.6;1.245;10;100100751
90;90;4.3;1.784;10;100100901
110;110;4.2;2.16;10;100101101
125;125;4.8;2.782;10;100101251
140;140;5.4;3.512;10;100101401
160;160;6.2;4.607;10;100101601
200;200;7.7;7.123;10;100102001
225;225;8.6;8.957;10;100102253
250;250;9.6;11.19;10;100102503
280;280;10.7;14.007;10;100102803
315;315;12.1;17.404;10;100103153
355;355;13.6;22.171;10;100103553
400;400;15.3;28.014;10;100104003
450;450;17.2;35.64;10;100104503
500;500;19.1;43.976;10;100105003
20;20;1.5;0.138;16;100160201
25;25;1.9;0.213;16;100160251
32;32;2.4;0.345;16;100160321
40;40;3;0.530;16;100160401
50;50;3.7;0.823;16;100160501
63;63;4.7;1.313;16;100160631
75;75;5.6;1.86;16;100160751
90;90;6.7;2.663;16;100160901
110;110;6.6;3.268;16;100161101
125;125;7.4;4.169;16;100161251
140;140;8.3;5.237;16;100161401
160;160;9.5;6.839;16;100161601
200;200;11.9;10.616;16;100162001
225;225;13.4;13.441;16;100162253
250;250;14.8;16.524;16;100162503
280;280;16.6;20.424;16;100162803
315;315;18.7;26.815;16;100163153
355;355;21.1;33.635;16;100163553
400;400;23.7;42.812;16;100164003
