DN;D;P;t;ves;art;ext
20;20;16;5.5;0.008;516 00 020 2;16
25;25;16;7;0.01;516 00 025 2;18.5
32;32;16;8.5;0.02;516 00 032 2;22
40;40;16;10;0.04;516 00 040 2;26
50;50;16;12;0.05;516 00 050 2;31
63;63;16;16;0.08;516 00 063 2;38
75;75;16;18;0.17;516 00 075 2;43.5
90;90;16;20;0.34;516 00 090 2;51
110;110;16;24;0.34;516 00 110 2;61
125;125;16;26;0.46;516 00 125 2;68.5
140;140;16;30;0.82;516 00 140 2;76
160;160;16;38;1.16;516 00 160 2;86
200;200;16;44;1.46;516 00 200 2;106
225;225;16;50;2.31;516 00 225 2;118.5
250;250;10;55;2.87;516 00 250 2;131
280;280;10;60;4.81;516 00 280 2;146
315;315;10;64;5.87;516 00 315 2;163.5
355;355;10;67;9.30;516 00 355 4;183.5
400;400;10;71;16.2;516 00 400 4;206
