ОКП;Lp;l;A;B;b;h;h1;Pt;Pk;ves;q;hp;np;type
315723110102;3;0.3;600;1260;630;1200;350;7.2;3.6;0.63;1;6;1;4
315723110201;3;0.6;600;1260;630;1200;350;7.2;3.6;0.63;1;6;1;4
315723110300;4.2;0.3;600;1260;630;1200;350;7.2;3.6;0.63;1;6;1;4
315723110410;4.2;0.6;600;1260;630;1200;350;7.2;3.6;0.63;1;6;1;4
315723110509;6;0.3;600;1460;730;1200;350;7.4;3.7;0.77;1;6;1;4
315723110608;6;0.6;600;1460;730;1200;350;7.4;3.7;0.77;1;6;1;4
315723110707;6;0.9;600;1460;730;1200;350;7.4;3.7;0.77;1;6;1;4
315723110905;9;0.6;600;1460;730;1200;350;7.8;3.9;0.91;1;6;1;4
315723111100;9;0.9;600;1460;730;1200;350;7.8;3.9;0.91;1;6;1;4
315723111210;9;1.2;600;1460;730;1200;350;7.8;3.9;0.91;1;6;1;4
315723111309;9;1.5;600;1460;730;1200;350;7.8;3.9;0.91;1;6;1;4
315723111408;12;0.6;600;1710;855;1280;430;8.5;4.25;1.21;1;6;1;4
315723111507;12;0.9;600;1710;855;1280;430;8.5;4.25;1.21;1;6;1;4
315723111606;12;1.2;600;1710;855;1280;430;8.5;4.25;1.21;1;6;1;4
315723111705;12;1.5;600;1710;855;1280;430;8.5;4.25;1.21;1;6;1;4
315723111804;15;0.6;600;1710;855;1360;510;9.2;4.6;1.51;1;6;1;4
315723111903;15;0.9;600;1710;855;1360;510;9.2;4.6;1.51;1;6;1;4
315723112109;15;1.2;600;1710;855;1360;510;9.2;4.6;1.51;1;6;1;4
315723112208;15;1.5;600;1710;855;1360;510;9.2;4.6;1.51;1;6;1;4
315724110108;3;0.3;600;1260;630;1580;430;12.7;6.35;0.74;2;6;1;4
315724110207;3;0.6;600;1260;630;1580;430;12.7;6.35;0.74;2;6;1;4
315724110306;4.2;0.3;600;1260;630;1580;430;12.7;6.35;0.74;2;6;1;4
315724110405;4.2;0.6;600;1260;630;1580;430;12.7;6.35;0.74;2;6;1;4
315724110504;6;0.3;600;1460;730;1580;430;13.1;6.55;0.96;2;6;1;4
315724110603;6;0.6;600;1460;730;1580;430;13.1;6.55;0.96;2;6;1;4
315724110702;6;0.9;600;1460;730;1580;430;13.1;6.55;0.96;2;6;1;4
315724110900;9;0.6;600;1460;730;1660;510;13.8;6.9;1.23;2;6;1;4
315724111106;9;0.9;600;1460;730;1660;510;13.8;6.9;1.23;2;6;1;4
315724111205;9;1.2;600;1460;730;1660;510;13.8;6.9;1.23;2;6;1;4
315724111304;9;1.5;600;1460;730;1660;510;13.8;6.9;1.23;2;6;1;4
315724111403;12;0.6;600;1710;855;1660;510;14.5;7.25;1.52;2;6;1;4
315724111502;12;0.9;600;1710;855;1660;510;14.5;7.25;1.52;2;6;1;4
315724111601;12;1.2;600;1710;855;1660;510;14.5;7.25;1.52;2;6;1;4
315724111700;12;1.5;600;1710;855;1660;510;14.5;7.25;1.52;2;6;1;4
315724111810;15;0.6;600;1710;855;1740;590;15.3;7.65;1.86;2;6;1;4
315724111909;15;0.9;600;1710;855;1740;590;15.3;7.65;1.86;2;6;1;4
315724112104;15;1.2;600;1710;855;1740;590;15.3;7.65;1.86;2;6;1;4
315724112203;15;1.5;600;1710;855;1740;590;15.3;7.65;1.86;2;6;1;4
315725110103;3;0.3;600;1260;630;1810;500;19.8;9.9;1.02;3.2;6;1;4
315725110202;3;0.6;600;1260;630;1810;500;19.8;9.9;1.02;3.2;6;1;4
315725110301;4.2;0.3;600;1260;630;1810;500;19.8;9.9;1.02;3.2;6;1;4
315725110400;4.2;0.6;600;1260;630;1810;500;19.8;9.9;1.02;3.2;6;1;4
315725110510;6;0.3;600;1460;730;1810;500;20.3;10.15;1.27;3.2;6;1;4
315725110609;6;0.6;600;1460;730;1810;500;20.3;10.15;1.27;3.2;6;1;4
315725110708;6;0.9;600;1460;730;1810;500;20.3;10.15;1.27;3.2;6;1;4
315725110906;9;0.6;600;1460;730;1890;580;21.4;10.7;1.71;3.2;6;1;4
315725111101;9;0.9;600;1460;730;1890;580;21.4;10.7;1.71;3.2;6;1;4
315725111200;9;1.2;600;1460;730;1890;580;21.4;10.7;1.71;3.2;6;1;4
315725111310;9;1.5;600;1460;730;1890;580;21.4;10.7;1.71;3.2;6;1;4
315725111409;12;0.6;600;1710;855;2010;700;22;11;1.91;3.2;6;1;4
315725111508;12;0.9;600;1710;855;2010;700;22;11;1.91;3.2;6;1;4
315725111607;12;1.2;600;1710;855;2010;700;22;11;1.91;3.2;6;1;4
315725111706;12;1.5;600;1710;855;2010;700;22;11;1.91;3.2;6;1;4
315725111805;15;0.6;600;1710;855;2010;700;23.4;11.7;2.48;3.2;6;1;4
315725111904;15;0.9;600;1710;855;2010;700;23.4;11.7;2.48;3.2;6;1;4
315725112110;15;1.2;600;1710;855;2010;700;23.4;11.7;2.48;3.2;6;1;4
315725112209;15;1.5;600;1710;855;2010;700;23.4;11.7;2.48;3.2;6;1;4
315726110109;3;0.3;900;1860;930;2040;530;15.7;7.85;1.75;5;6;1;4
315726110208;3;0.6;900;1860;930;2040;530;15.7;7.85;1.75;5;6;1;4
315726110307;4.2;0.3;900;1860;930;2120;600;15.7;7.85;1.75;5;6;1;4
