DN;D;T;R;ves
15;21.3;2;28;0.04
15;21.3;3.2;28;0.06
15;21.3;4;28;0.07
20;26.9;2;29;0.06
20;26.9;3.2;29;0.08
20;26.9;4;29;0.1
25;33.7;2.3;38;0.11
25;33.7;3.2;38;0.16
25;33.7;4.5;38;0.19
32;42.4;2.6;48;0.19
32;42.4;3.6;48;0.26
32;42.4;5;48;0.35
40;48.3;2.6;57;0.26
40;48.3;3.6;57;0.36
40;48.3;5;57;0.47
50;60.3;2.9;76;0.5
50;60.3;4;76;0.67
50;60.3;5.6;76;0.89
65;76.1;2.9;95;0.79
65;76.1;5;95;1.5
65;76.1;7.1;95;1.8
80;88.9;3.2;114;1.2
80;88.9;5.6;114;2.1
80;88.9;8;114;2.8
100;114.3;3.6;152;2.4
100;114.3;6.3;152;4
100;114.3;8.8;152;5.4
125;139.7;4;190;4
125;139.7;6.3;190;6.2
125;139.7;10;190;9.6
150;168.3;4.5;229;6.5
150;168.3;7.1;229;10
150;168.3;11;229;15
200;219.1;6.3;305;16
200;219.1;8;305;20
200;219.1;12.5;305;31
250;237;6.3;381;25
250;237;10;381;39
300;323.9;7.1;457;40
300;323.9;10;457;56
350;355.6;8;533;57
350;355.6;11;533;78
400;406.4;8.8;610;82
400;406.4;12.5;610;117
