DN;D;D1;L;ves
15;21.3;17;36;0.064
20;26.8;17;39;0.086
20;26.8;21.3;39;0.095
25;33.5;17;45;0.122
25;33.5;21.3;45;0.134
25;33.5;26.8;45;0.147
32;42.3;17;50;0.176
32;42.3;21.3;50;0.185
32;42.3;26.8;50;0.209
32;42.3;33.5;50;0.218
40;48;21.3;55;0.243
40;48;26.8;55;0.258
40;48;33.5;55;0.28
40;48;42.3;55;0.325
50;60;21.3;65;0.402
50;60;26.8;65;0.411
50;60;33.5;65;0.416
50;60;42.3;65;0.447
50;60;48;65;0.473
65;75.5;42.3;74;0.656
65;75.5;48;74;0.679
65;75.5;60;74;0.74
80;88.5;48;80;0.844
80;88.5;60;80;0.903
80;88.5;75.5;80;0.97
100;114;60;94;1.572
100;114;75.5;94;1.677
100;114;88.5;94;1.778
