DN;D;D1;L;ves;PN;art;ext;type
20;20;16;2;0.004;16;509000200162;-14;1
25;25;20;3;0.004;16;509000250202;-16;1
32;32;20;7;0.01;16;509000320202;-16;1
32;32;25;4;0.01;16;509000320252;-18.5;1
40;40;20;10;0.02;16;509000400202;-16;1
40;40;25;7;0.02;16;509000400252;-18.5;1
40;40;32;4;0.01;16;509000400322;-22;1
50;50;32;9;0.03;16;509000500322;-22;1
50;50;40;5;0.02;16;509000500402;-26;1
63;63;32;16;0.07;16;509000630322;-22;1
63;63;40;11;0.07;16;509000630402;-26;1
63;63;50;6.5;0.05;16;509000630502;-31;1
75;75;40;17.5;0.08;16;509000750402;-26;1
75;75;50;13;0.09;16;509000750502;-31;1
75;75;63;6;0.07;16;509000750632;-38;1
90;90;32;25;0.13;16;509000900322;-22;1
90;90;50;20;0.14;16;509000900502;-31;1
90;90;63;13;0.14;16;509000900632;-38;1
90;90;75;8;0.13;16;509000900752;-43.5;1
110;110;63;23;0.26;16;509001100632;-38;1
110;110;75;17;0.27;16;509001100752;-44;1
110;110;90;10;0.26;16;509001100902;-51;1
125;125;63;31;0.4;16;509001250632;-38;1
125;125;75;25;0.42;16;509001250752;-43.5;1
125;125;90;18;0.38;16;509001250902;-51;1
125;125;110;7.5;0.25;16;509001251102;-61;1
140;140;63;40;0.525;16;509001400632;-38;1
140;140;75;33;0.5;16;509001400752;-43.5;1
140;140;90;25;0.49;16;509001400902;-51;1
140;140;110;15;0.5;16;509001401102;-61;1
140;140;125;7.5;0.294;16;509001401252;-68.5;1
160;160;90;35;0.7;16;509001600902;-51;1
160;160;110;25;0.76;16;509001601102;-61;1
160;160;140;10;0.56;16;509001601402;-76;1
200;200;160;20;1.22;16;509002001602;-86;1
225;225;200;13;1.34;16;509002252002;-106;1
250;250;200;25.5;2.98;16;509002502002;-106;1
250;250;225;12.5;1.64;16;509002502252;-118.5;1
280;280;250;16;2.43;16;509002802502;-131;1
315;315;280;17;3.54;16;509003152802;-146;1
355;355;280;44;10.4;16;509003552805;-146;1
355;355;315;27;6.41;16;509003553155;-163.5;1
400;400;280;67;18.9;16;509004002805;-146;1
400;400;315;50;14.9;16;509004003155;-163.5;1
400;400;355;23;8.53;16;509004003555;-183.5;1
160;160;110;126;1.27;16;510001601102;96;2
225;225;110;109;2.64;16;510002251102;130;2
225;225;160;109;2.66;16;510002251602;130;2
25;25;20;2;0.006;10;0;-2;1
32;32;25;2.7;0.012;10;0;-2.7;1
40;40;32;3.5;0.02;10;0;-3.5;1
50;50;40;3.6;0.036;10;0;-3.6;1
63;63;50;6;0.073;10;0;-6;1
75;75;63;5.5;0.095;10;0;-5.5;1
90;90;75;6.5;0.161;10;0;-6.5;1
110;110;90;8.5;0.313;10;0;-8.5;1
125;125;110;6.5;0.302;10;0;-6.5;1
140;140;110;14.7;0.506;10;0;-14.7;1
140;140;125;7.2;0.352;10;0;-7.2;1
160;160;110;24;0.352;10;0;-24;1
160;160;140;9;0.616;10;0;-9;1
200;200;160;19;1.188;10;0;-19;1
225;225;160;32.8;2.112;10;0;-32.8;1
225;225;200;11;1.573;10;0;-11;1
250;250;200;21.4;2.36;10;0;-21.4;1
250;250;225;8.90000000000001;1.898;10;0;-8.90000000000001;1
280;280;225;26;2.915;10;0;-26;1
315;315;280;17;4.285;10;0;-17;1
400;400;315;51;4.285;10;0;-51;1
