DN;D;T;D1;T1;L;ves;P
500x250;530;8;273;8;615;62.5;2.5
500x300;530;8;325;8;490;53.3;2.5
500x350;530;8;377;9;375;42.8;2.5
500x400;530;8;426;10;260;31.4;2.5
600x500;630;12;325;8;710;102.6;2.5
600x350;630;12;377;9;590;90.1;2.5
600x400;630;12;426;10;475;76;2.5
600x500;630;12;530;8;225;39.8;2.5
700x350;720;9;377;9;815;113.2;2.5
700x400;720;9;426;10;700;101.7;2.5
700x500;720;9;530;8;450;71.7;2.5
700x600;720;9;630;12;235;47.3;2.5
800x400;820;11;426;10;930;176.9;2.5
800x500;820;11;530;8;680;140.7;2.5
800x600;820;11;630;12;465;102.7;2.5
800x700;820;11;720;9;240;56.5;2.5
1000x500;1020;14;530;8;1140;314.1;2.5
1000x600;1020;14;630;12;920;269.7;2.5
1000x700;1020;14;720;9;695;215.6;2.5
1000x800;1020;14;820;11;475;155.2;2.5
1200x600;1220;14;630;12;1390;522.4;2.5
1200x700;1220;14;720;9;1165;460.6;2.5
1200x800;1220;14;820;11;945;391.5;2.5
1200x1000;1220;14;1020;14;490;221.8;2.5
600x300;630;8;325;6;720;87.4;1.6
600x400;630;8;426;9;485;65.2;1.6
600x500;630;8;530;8;245;36.2;1.6
700x400;720;9;426;9;690;100.7;1.6
700x500;720;9;530;8;450;71.7;1.6
700x600;720;9;630;8;215;37;1.6
800x400;820;9;426;9;930;147.6;1.6
800x500;820;9;530;8;690;118.7;1.6
800x600;820;9;630;8;455;84;1.6
800x700;820;9;720;9;250;48.6;1.6
1000x500;1020;10;530;8;1155;228.1;1.6
1000x600;1020;10;630;8;920;193.4;1.6
1000x700;1020;10;720;9;715;158;1.6
1000x800;1020;10;820;9;485;113.3;1.6
1200x600;1220;11;630;8;1390;392.4;1.6
1200x700;1220;11;720;9;1180;350;1.6
1200x800;1220;11;820;9;950;295.9;1.6
1200x1000;1220;11;1020;10;485;165.7;1.6
1400x700;1420;14;720;9;1640;624;1.6
1400x800;1420;14;820;9;1405;560.7;1.6
1400x1000;1420;14;1020;10;940;408.5;1.6
1400x1200;1420;14;1220;11;475;223.2;1.6
1600x800;1620;14;820;9;1875;815.5;1.6
1600x1000;1620;14;1020;10;1410;663.2;1.6
1600x1200;1620;14;1220;11;945;477.9;1.6
1600x1400;1620;14;1420;14;490;264.1;1.6
500x250;530;8;273;8;615;62.9;2.5
500x300;530;8;325;8;490;53.6;2.5
500x350;530;8;377;9;375;43.2;2.5
500x400;530;8;426;10;260;31.4;2.5
600x300;630;12;325;8;710;103.2;2.5
600x350;630;12;377;9;590;90.7;2.5
600x400;630;12;426;10;475;76.5;2.5
600x500;630;12;530;8;225;40.1;2.5
700x350;720;9;377;9;815;116.1;2.5
700x400;720;9;426;10;700;102.4;2.5
700x500;720;9;530;8;450;72.2;2.5
700x600;720;9;630;12;235;48.7;2.5
800x400;820;11;426;10;930;178.4;2.5
800x500;820;11;530;8;680;142.1;2.5
800x600;820;11;630;12;465;103.5;2.5
800x700;820;11;720;9;240;57.2;2.5
1000x500;1020;14;530;8;1140;316.8;2.5
1000x600;1020;14;630;12;920;272.3;2.5
1000x700;1020;14;720;9;695;217.5;2.5
1000x800;1020;14;820;11;475;156.6;2.5
1200x600;1220;14;630;12;1390;527.5;2.5
1200x700;1220;14;720;9;1165;460.8;2.5
1200x800;1220;14;820;11;945;395.9;2.5
1200x1000;1220;14;1020;14;490;225.1;2.5
600x300;630;8;325;6;720;88.1;1.6
600x400;630;8;426;9;485;72.6;1.6
600x500;630;8;530;8;245;36.4;1.6
700x400;720;9;426;9;690;101.5;1.6
700x500;720;9;530;8;450;72.2;1.6
700x600;720;9;630;8;215;37.3;1.6
800x400;820;9;426;9;930;148.9;1.6
800x500;820;9;530;8;690;119.5;1.6
800x600;820;9;630;8;455;84.8;1.6
800x700;820;9;720;9;250;49.3;1.6
1000x500;1020;10;530;8;1155;229.6;1.6
1000x600;1020;10;630;8;920;194.9;1.6
1000x700;1020;10;720;9;715;159.5;1.6
1000x800;1020;10;820;9;485;114.5;1.6
1200x600;1220;11;630;8;1390;395.7;1.6
1200x700;1220;11;720;9;1180;353;1.6
1200x800;1220;11;820;9;950;299;1.6
1200x1000;1220;11;1020;10;485;167.2;1.6
1400x700;1420;14;720;9;1640;629.2;1.6
1400x800;1420;14;820;9;1405;614.1;1.6
1400x1000;1420;14;1020;10;940;412.5;1.6
1400x1200;1420;14;1220;11;475;224.7;1.6
1600x800;1620;14;820;9;1875;822.4;1.6
1600x1000;1620;14;1020;10;1410;668.9;1.6
1600x1200;1620;14;1220;11;945;481.5;1.6
1600x1400;1620;14;1420;14;490;265.5;1.6
