DN;D;T;D1;T1;L;ves
20;26.9;2;21.3;2;38;0.05
20;26.9;3.2;21.3;3.2;38;0.07
20;26.9;4;21.3;4;38;0.09
25;33.7;2.3;21.3;2;38;0.09
25;33.7;3.2;21.3;3.2;38;0.12
25;33.7;4.5;21.3;4;38;0.16
25;33.7;2.3;26.9;2;51;0.09
25;33.7;3.2;26.9;3.2;51;0.012
25;33.7;4.5;26.9;4;51;0.06
32;42.4;2.6;21.3;2;51;0.13
32;42.4;3.6;21.3;3.2;51;0.17
32;42.4;5;21.3;4;51;0.23
32;42.4;2.6;21.3;2;51;0.13
32;42.4;3.6;26.9;3.2;51;0.17
32;42.4;5;26.9;4;51;0.23
32;42.4;2.6;26.9;2.3;51;0.13
32;42.4;3.6;33.7;3.2;51;0.17
32;42.4;5;33.7;4.5;51;0.23
40;48.3;2.6;33.7;2;64;0.19
40;48.3;3.6;26.9;3.2;64;0.25
40;48.3;5;26.9;4;64;0.34
40;48.3;2.6;26.9;2.3;64;0.19
40;48.3;3.6;33.7;3.2;64;0.25
40;48.3;5;33.7;4.5;64;0.34
40;48.3;2.6;33.7;2.6;64;0.19
40;48.3;3.6;42.4;3.6;64;0.25
40;48.3;5;42.4;5;64;0.34
50;60.3;2.9;33.7;2.3;76;0.31
50;60.3;4;33.7;3.2;76;0.42
50;60.3;5.6;33.7;4.5;76;0.58
50;60.3;2.9;42.4;2.6;76;0.31
50;60.3;4;42.4;3.6;76;0.42
50;60.3;5.6;42.4;5;76;0.58
50;60.3;2.9;42.4;2.6;76;0.31
50;60.3;4;48.3;3.6;76;0.42
50;60.3;5.6;48.3;5;76;0.58
65;76.1;2.9;42.4;2.6;89;0.47
65;76.1;5;42.4;3.6;89;0.78
65;76.1;7.1;42.4;5;89;1.1
65;76.1;2.9;48.3;2.6;89;0.47
65;76.1;5;48.3;3.6;89;0.78
65;76.1;7.1;48.3;5;89;1.1
65;76.1;2.9;48.3;2.9;89;0.47
65;76.1;5;60.3;4;89;0.78
65;76.1;7.1;60.3;5.6;89;1.1
80;88.9;3.2;48.3;2.6;89;0.60
80;88.9;5.6;48.3;3.6;89;1
80;88.9;8;48.3;5;89;1.4
80;88.9;3.2;60.3;2.9;89;0.60
80;88.9;5.6;60.3;4;89;1
80;88.9;8;60.3;5.6;89;1.4
