DN;D;D1;L;L1;ves
15;21.3;17;52;15.35;0.119
15;21.3;26.8;62;19.35;0.163
15;21.3;33.5;68;21.35;0.199
20;26.8;17;56;14.6;0.168
20;26.8;21.3;60;17.6;0.183
20;26.8;33.5;72;21.6;0.198
20;26.8;42.3;82;22.6;0.206
25;33.5;17;60;15.25;0.235
25;33.5;21.3;64;17.25;0.255
25;33.5;26.8;70;19.25;0.285
25;33.5;42.3;84;23.25;0.304
25;33.5;48;92;25.25;0.315
32;42.3;17;64;14.85;0.342
32;42.3;21.3;68;16.85;0.352
32;42.3;26.8;72;19.85;0.382
32;42.3;33.5;80;20.85;0.43
32;42.3;48;80;24.85;0.434
32;42.3;60;108;26.85;0.444
40;48;21.3;72;18;0.459
40;48;26.8;76;20;0.494
40;48;33.5;84;22;0.552
40;48;42.3;92;24;0.616
40;48;60;110;28;0.65
50;60;21.3;76;18;0.672
50;60;26.8;80;20;0.714
50;60;33.5;88;22;0.788
50;60;42.3;96;24;0.867
50;60;48;104;25;0.94
65;75.5;33.5;94;22.25;0.091
65;75.5;42.3;104;24.25;1.124
65;75.5;48;110;25.25;1.192
65;75.5;60;122;28.25;1.345
80;88.5;33.5;102;22.75;1.375
80;88.5;42.3;110;25.75;1.39
80;88.5;48;116;26.75;1.484
80;88.5;60;128;28.75;1.646
80;88.5;75.5;144;31.75;1.86
100;114;60;140;29;2.826
100;114;75.5;156;32;3.15
100;114;88.5;168;35;3.421
