DN;D;T;D1;T1;L;H;P;ves
1;76;3.0;76;3.0;350;102;4.0;3
2;89;3.5;89;3.5;300;100.5;4.0;4
3;89;3.5;89;3.5;300;100.5;2.5;3.8
4;108;4;108;4;320;121;2.5;5.9
5;108;4;108;4;320;121;4.0;6.5
6;133;4;133;4;350;123.5;4.0;9.8
7;133;4;133;4;350;123.5;2.5;7.7
8;159;5;159;5;400;120.5;2.5;12.2
9;159;5;159;5;400;120.5;4.0;15.6
10;219;7;219;7;450;140.5;4.0;29.9
11;219;7;219;7;450;140.5;2.5;24.6
12;273;8;273;8;500;143.5;2.5;39.8
13;273;8;273;8;500;143.5;4.0;53.6
14;273;6;273;6;500;143.5;1.6;31.9
15;325;6;325;6;550;162.5;1.6;41.8
16;325;8;325;8;550;162.5;2.5;52.1
17;325;8;325;8;550;162.5;4.0;80.5
18;377;9;377;9;650;161.5;2.5;74.2
19;377;9;377;9;650;161.5;4.0;119.5
20;426;10;426;10;700;182;4.0;163.9
21;426;10;426;10;700;182;2.5;125.9
22;426;9;426;9;700;182;1.6;83
23;530;8;530;8;800;180;1.6;120.8
24;530;8;530;8;800;180;1.6;178.5
25;630;12;630;12;1000;220;2.5;295.6
26;630;8;630;8;1000;220;1.6;239.9
27;630;8;630;8;1000;220;1.0;177.5
28;720;9;720;9;1100;220;1.0;227.9
29;720;9;720;9;1100;220;1.6;336.2
30;720;9;720;9;1100;220;2.5;427.7
31;820;11;820;11;1200;220;2.5;610.9
32;820;9;820;9;1200;220;1.6;440.8
33;820;9;820;9;1200;220;1.0;337.6
34;1020;10;1020;10;1600;280;1.6;881.2
35;1020;10;1020;10;1600;280;1.0;704.9
36;1020;10;1020;10;1600;280;0.6;575.5
37;1220;10;1220;10;1800;280;0.6;777.7
38;1220;10;1220;10;1800;280;1.0;1166.3
39;1220;10;1220;10;1800;280;1.6;1344.1
40;1420;14;1420;14;2100;320;1.6;1966.4
41;1420;14;1420;14;2100;320;1.0;1580.8
42;1420;14;1420;14;2100;320;0.6;1353.8
43;1420;14;1420;14;2100;320;0.4;1123.3
44;1620;14;1620;14;2200;320;0.4;1334
45;1620;14;1620;14;2200;320;0.6;1605.2
46;1620;14;1620;14;2200;320;1.0;1926.4
47;377;9;273;8;600;-47;4.0;140.6
48;377;9;273;8;600;-47;2.5;63
