DN;D;T;D1;T1;F;H;r;ves
15;20;2;20;2;50;5;3;0.2
15;20;3;20;2;50;5;3;0.2
15;20;4;20;2;50;5;3;0.3
20;25;2;20;2;58;7.5;3;0.3
20;25;3;20;3;58;7.5;3;0.3
20;25;4;20;4;58;7.5;3;0.4
20;25;2;25;2;58;7.5;3;0.3
20;25;3;25;3;58;7.5;3;0.3
20;25;4;25;4;58;7.5;3;0.4
25;32;2;20;2;76;9;3;0.3
25;32;3;20;3;76;9;3;0.4
25;32;4;20;4;76;9;3;0.4
25;32;2;25;2;76;9;3;0.3
25;32;3;25;3;76;9;3;0.4
25;32;4;25;4;76;9;3;0.4
25;32;2;32;2;76;9;3;0.3
25;32;3;32;3;76;9;3;0.4
25;32;4;32;4;76;9;3;0.4
32;38;2;20;2;64;13;4;0.3
32;38;3;20;3;64;13;4;0.4
32;38;4;20;4;64;13;4;0.4
32;38;2;25;2;64;13;4;0.3
32;38;3;25;3;64;13;4;0.4
32;38;4;25;4;64;13;4;0.4
32;38;2;32;2;64;13;4;0.3
32;38;3;32;3;64;13;4;0.4
32;38;4;32;4;64;13;4;0.4
32;38;2;38;2;64;13;4;0.3
32;38;3;38;3;64;13;4;0.4
32;38;4;38;4;64;13;4;0.4
40;45;2.5;45;2.5;80;17.5;5;0.3
40;45;4;45;4;80;17.5;5;0.4
40;45;5;45;5;80;17.5;5;0.4
50;57;3;45;2.5;100;16.5;5;0.4
50;57;4;45;3;100;16.5;5;0.6
50;57;5;45;4;100;16.5;5;0.7
50;57;3;57;3;100;16.5;5;0.4
50;57;4;57;4;100;16.5;5;0.6
50;57;5;57;5;100;16.5;5;0.7
65;76;3.5;45;2.5;130;22;5;0.8
65;76;6;45;4;130;22;5;1.4
65;76;7;45;5;130;22;5;1.6
65;76;3.5;57;3;130;22;5;0.8
65;76;6;57;5;130;22;5;1.4
65;76;7;57;5.5;130;22;5;1.6
65;76;3.5;76;3.5;130;22;5;0.8
65;76;6;76;6;130;22;5;1.4
65;76;7;76;7;130;22;5;1.6
80;89;3.5;57;3;160;25.5;5;1.5
80;89;6;57;4;160;25.5;5;2
80;89;8;57;5.5;160;25.5;5;2.7
80;89;3.5;76;3.5;160;25.5;5;1.5
80;89;6;76;6;160;25.5;5;2
80;89;8;76;7;160;25.5;5;2.7
80;89;3.5;89;3.5;160;25.5;5;1.5
80;89;6;89;6;160;25.5;5;2
80;89;8;89;8;160;25.5;5;2.7
100;108;4;76;3.5;200;26;5;2.2
100;108;6;76;5;200;26;5;3.3
100;108;8;76;6;200;26;5;4.5
100;108;9;76;7;200;26;5;4.9
100;108;4;89;4;200;26;5;2.2
100;108;6;89;6;200;26;5;3.3
100;108;8;89;8;200;26;5;4.5
100;108;9;89;8;200;26;5;4.9
100;108;4;108;4;200;26;5;2.2
100;108;6;108;6;200;26;5;3.3
100;108;8;108;8;200;26;5;4.5
100;108;9;108;9;200;26;5;4.9
100;114;4;76;3.5;200;33;5;3
100;114;5;76;5;200;33;5;3.7
100;114;6;76;6;200;33;5;4.4
100;114;9;76;7;200;33;5;6.5
100;114;4;89;4;200;33;5;3
100;114;5;89;5;200;33;5;3.7
100;114;6;89;6;200;33;5;4.4
100;114;9;89;8;200;33;5;6.5
100;114;4;114;4;200;33;5;3
100;114;5;114;5;200;33;5;3.7
100;114;6;114;6;200;33;5;4.4
100;114;9;114;9;200;33;5;6.5
125;133;4;89;3.5;220;28.5;6;2.9
125;133;6;89;5;220;28.5;6;4.1
125;133;8;89;6;220;28.5;6;5.9
125;133;10;89;8;220;28.5;6;6.8
125;133;12;89;9;220;28.5;6;8
125;133;4;108;4;220;28.5;6;2.9
125;133;6;108;5;220;28.5;6;4.1
125;133;8;108;6;220;28.5;6;5.9
125;133;10;108;9;220;28.5;6;6.8
125;133;12;108;10;220;28.5;6;8
125;133;4;133;4;220;28.5;6;2.9
125;133;6;133;6;220;28.5;6;4.1
125;133;8;133;8;220;28.5;6;5.9
125;133;10;133;10;220;28.5;6;6.8
125;133;12;133;12;220;28.5;6;8
150;159;4.5;108;4;260;30.5;8;4.8
150;159;6;108;5;260;30.5;8;6.6
150;159;8;108;6;260;30.5;8;9
150;159;10;108;9;260;30.5;8;10.1
150;159;12;108;10;260;30.5;8;12.2
150;159;4.5;133;4;260;30.5;8;4.8
150;159;6;133;5;260;30.5;8;6.6
150;159;8;133;6;260;30.5;8;9
150;159;10;133;10;260;30.5;8;10.1
150;159;12;133;12;260;30.5;8;12.2
150;159;4.5;159;4.5;260;30.5;8;4.8
150;159;6;159;6;260;30.5;8;6.6
150;159;8;159;8;260;30.5;8;9
150;159;10;159;10;260;30.5;8;10.1
150;159;12;159;12;260;30.5;8;12.2
200;219;6;133;5;320;30.5;10;10.2
200;219;8;133;6;320;30.5;10;13.8
200;219;10;133;8;320;30.5;10;16.8
200;219;12;133;10;320;30.5;10;19.9
200;219;16;133;16;320;30.5;10;26.6
200;219;6;159;6;320;30.5;10;10.2
200;219;8;159;6;320;30.5;10;13.8
200;219;10;159;8;320;30.5;10;16.8
200;219;12;159;11;320;30.5;10;19.9
200;219;16;159;12;320;30.5;10;26.6
200;219;6;219;6;320;30.5;10;10.2
200;219;8;219;8;320;30.5;10;13.8
200;219;10;219;10;320;30.5;10;16.8
200;219;12;219;12;320;30.5;10;19.9
200;219;16;219;16;320;30.5;10;26.6
250;273;7;159;4.5;380;38.5;12;18.4
250;273;10;159;6;380;38.5;12;26
250;273;12;159;8;380;38.5;12;31.2
250;273;16;159;11;380;38.5;12;41.6
250;273;18;159;12;380;38.5;12;46.8
250;273;7;219;6;380;38.5;12;18.4
250;273;10;219;8;380;38.5;12;26
250;273;12;219;10;380;38.5;12;31.2
250;273;16;219;12;380;38.5;12;41.6
250;273;18;219;16;380;38.5;12;46.8
250;273;7;273;7;380;38.5;12;18.4
250;273;10;273;10;380;38.5;12;26
250;273;12;273;12;380;38.5;12;31.2
250;273;16;273;16;380;38.5;12;41.6
250;273;18;273;18;380;38.5;12;46.8
300;325;8;219;6;440;37.5;15;27.4
300;325;10;219;8;440;37.5;15;34.2
300;325;12;219;10;440;37.5;15;41.1
300;325;16;219;12;440;37.5;15;54.8
300;325;22;219;16;440;37.5;15;75.3
300;325;8;273;7;440;37.5;15;27.4
300;325;10;273;10;440;37.5;15;34.2
300;325;12;273;12;440;37.5;15;41.1
300;325;16;273;16;440;37.5;15;54.8
300;325;22;273;18;440;37.5;15;75.3
300;325;8;325;8;440;37.5;15;27.4
300;325;10;325;10;440;37.5;15;34.2
300;325;12;325;12;440;37.5;15;41.1
300;325;16;325;16;440;37.5;15;54.8
300;325;22;325;22;440;37.5;15;75.3
350;377;10;273;7;480;36.5;15;46
350;377;12;273;10;480;36.5;15;55.2
350;377;16;273;12;480;36.5;15;73.6
350;377;20;273;16;480;36.5;15;92
350;377;10;325;8;480;36.5;15;46
350;377;12;325;10;480;36.5;15;55.2
350;377;16;325;16;480;36.5;15;73.6
350;377;20;325;18;480;36.5;15;92
350;377;10;377;10;480;36.5;15;46
350;377;12;377;12;480;36.5;15;55.2
350;377;16;377;16;480;36.5;15;73.6
350;377;20;377;20;480;36.5;15;92
400;426;10;325;8;540;37;18;55.5
400;426;12;325;10;540;37;18;66.6
400;426;16;325;12;540;37;18;88.8
400;426;18;325;16;540;37;18;100
400;426;10;377;10;540;37;18;55.5
400;426;12;377;12;540;37;18;66.6
400;426;16;377;16;540;37;18;88.8
400;426;18;377;18;540;37;18;100
400;426;10;426;10;540;37;18;55.5
400;426;12;426;12;540;37;18;66.6
400;426;16;426;16;540;37;18;88.8
400;426;18;426;18;540;37;18;100
