DN;ТИП;PN;PN;PN;PN;PN;PN;PN;PN
1;1;1;2.5;6;10;16;25;40;63
10;1;0.25;0.25;0.31;0.46;0.54;0.64;40;63
10;2;0.29;0.29;0.29;0.52;0.61;0.69;40;63
10;11;0.29;0.29;0.34;0.5;0.6;0.69;0.69;1.03
15;1;0.29;0.29;0.33;0.51;0.61;0.71;0.69;1.03
15;2;0.33;0.33;0.33;0.58;0.67;0.77;0.69;1.03
15;11;0.34;0.34;0.4;0.58;0.68;0.8;0.8;1.15
20;1;0.45;0.45;0.53;0.75;0.86;0.98;0.8;1.15
20;2;0.41;0.41;0.41;0.82;0.93;1.05;0.8;1.15
20;11;0.46;0.46;0.53;0.87;0.87;0.99;0.99;1.81
25;1;0.55;0.55;0.64;0.89;1.17;1.17;0.99;1.81
25;2;0.6;0.6;0.6;0.96;1.1;1.24;0.99;1.81
25;11;0.55;0.55;0.77;1.05;1.05;1.19;1.19;2.3
32;1;0.79;0.79;1.02;1.4;1.58;1.77;1.19;2.3
32;2;0.87;0.87;0.87;1.49;1.68;1.87;1.19;2.3
32;11;0.78;0.78;1.1;1.54;1.54;1.85;1.85;2.94
40;1;0.95;0.95;1.21;1.72;1.96;2.18;1.85;2.94
40;2;1.01;1.01;1.01;1.92;2.13;2.35;1.85;2.94
40;11;1.09;1.09;1.36;1.83;1.85;2.19;2.19;3.75
50;1;1.04;1.04;1.33;2.06;2.58;2.8;2.19;3.75
50;2;1.11;1.11;1.11;2.27;2.54;2.79;2.19;3.75
50;11;1.26;1.26;1.53;2.26;2.28;2.78;2.81;4.63
65;1;1.39;1.39;1.63;2.8;3.42;3.22;2.81;4.63
65;2;1.55;1.55;1.55;3.01;3.31;3.43;2.81;4.63
65;11;1.62;1.62;2.06;3.17;3.19;3.71;3.72;6.3
80;1;1.84;1.84;2.44;3.19;3.71;4.06;3.72;6.3
80;2;2.05;2.05;2.05;3.77;4.11;4.25;3.72;6.3
80;11;2.43;2.43;2.76;3.67;4.21;4.48;4.81;7.22
100;1;2.14;2.14;2.85;3.96;4.73;5.92;4.81;7.22
100;2;2.38;2.38;2.38;4.55;4.93;6.19;4.81;7.22
100;11;2.98;2.98;3.35;4.7;4.9;6.58;7.4;10.7
125;1;2.6;2.6;3.88;5.4;6.38;8.26;7.4;10.7
125;2;2.84;2.84;2.84;6.09;6.56;8.82;7.4;10.7
125;11;3.72;3.72;4.66;6.76;6.76;9.45;10.2;17.1
150;1;3.62;3.62;4.65;6.97;8.2;10.5;10.2;17.1
150;2;3.94;3.94;3.94;7.86;8.48;10.9;10.2;17.1
150;11;5.22;5.22;5.85;8.9;8.3;12.6;13.2;25.4
200;1;4.73;4.73;5.9;8.05;10.2;13.3;13.2;25.4
200;2;4.93;4.93;4.93;9.02;9.36;12.6;13.2;25.4
200;11;6.92;6.92;9.35;11.4;11.8;17.4;24.4;38.5
250;1;6.95;6.95;7.7;10.7;14.5;18.9;24.4;38.5
250;2;6.38;6.38;6.38;11.3;13.9;17.7;24.4;38.5
250;11;9.88;9.88;12.3;14.6;17.4;25.7;37.6;53.8
300;1;9.33;9.33;10.3;12.9;17.8;24;37.6;53.8
300;2;10.35;10.35;10.35;13.9;17.9;22.8;37.6;53.8
300;11;13.4;13.4;14.8;19.3;22.8;33.3;57.1;74.6
350;1;10.45;10.45;12.6;15.9;22.9;34.6;57.1;74.6
350;2;13.5;13.5;13.5;18;22.8;31.7;57.1;74.6
350;11;16;16;18.65;24.7;33.1;46.6;70.3;106
400;1;11.6;11.6;15.2;21.6;31;44.6;70.3;106
400;2;17;17;17;24.4;29.1;42.5;70.3;106
400;11;18.6;18.6;20.6;30;43;64.8;107;151
450;1;14.6;14.6;17.3;22.8;39.6;51.8;107;151
450;2;20;20;20;25.6;35.3;48.2;107;151
450;11;23.7;23.7;23.6;34.7;54;72.3;107;151
500;1;16;16;19.7;28;57;67.3;107;151
500;2;25.4;25.4;25.4;33.3;49.3;64.6;107;151
500;11;26.8;26.8;29.1;40;71;89;132.3;201
600;1;21.4;21.4;26.2;39.4;80;90.9;132.3;201
600;11;35.8;35.8;35.8;50;99.3;124;195;283
700;1;29.2;29.2;36.7;59.5;84.2;127;195;283
700;11;44.3;44.3;44.3;65.3;106;167;247;301
800;1;36.6;36.6;46.1;79.2;104.4;181.4;247;301
800;11;55.5;55.5;56.2;87.2;131;215;367.4;464
900;1;44.2;44.2;55.1;94.1;129;215;367.4;464
900;11;66.4;66.4;66.8;103;158;253;437;954
1000;1;52.6;52.6;64.4;118.4;179.4;253;437;954
1000;11;73.4;73.4;73.5;119;203;312;541;981
1200;1;62.4;62.4;99;197.4;298;312;541;981
1200;11;92.9;92.9;111;180;285;388;691;1264
1400;1;77.6;77.6;161.5;279;285;388;691;1264
1400;11;101;101;157;279;285;388;691;1264
1600;1;94.3;94.3;203;423;285;388;691;1264
1600;11;135;135;219;423;285;388;691;1264
1800;1;117;117;219;423;285;388;691;1264
2000;1;133;133;219;423;285;388;691;1264
2200;1;190;190;219;423;285;388;691;1264
2400;1;237;237;219;423;285;388;691;1264
