#	Sizes	G(kg/m)	h(mm)	b(mm)	tw(mm)	tf(mm)	r(mm)	A(cm2)	hi(mm)	d(mm)	Ix(cm4)	Wex(cm3)	Wplx(cm3)	ix(cm)	Iy(cm4)	Wey(cm3)	Wply(cm3)	iy(cm)
1	HEB 100	20.4	100	100	6	10	12	26.04	80	56	449.5	89.91	104.2	4.16	167.3	33.45	51.42	2.53
2	HEB 120	26.7	120	120	6.5	11	12	34.01	98	74	864.4	144.1	165.2	5.04	317.5	52.92	80.97	3.06
3	HEB 140	33.7	140	140	7	12	12	42.96	116	92	1509	215.6	245.4	5.93	549.7	78.52	119.8	3.58
4	HEB 160	42.6	160	160	8	13	15	54.25	134	104	2492	311.5	354	6.78	889.2	111.2	170	4.05
5	HEB 180	51.2	180	180	8.5	14	15	65.25	152	122	3831	425.7	481.4	7.66	1363	151.4	231	4.57
6	HEB 200	61.3	200	200	9	15	18	78.08	170	134	5696	569.6	642.5	8.54	2003	200.3	305.8	5.07
7	HEB 220	71.5	220	220	9.5	16	18	91.04	188	152	8091	735.5	827	9.43	2843	258.5	393.9	5.59
8	HEB 240	83.2	240	240	10	17	21	106	206	164	11260	938.3	1053	10.31	3923	326.9	498.4	6.08
9	HEB 260	93	260	260	10	17.5	24	118.4	225	177	14920	1148	1283	11.22	5135	395	602.2	6.58
10	HEB 280	103	280	280	10.5	18	24	131.4	244	196	19270	1376	1534	12.11	6595	471	717.6	7.09
11	HEB 300	117	300	300	11	19	27	149.1	262	208	25170	1678	1869	12.99	8563	570.9	870.1	7.58
12	HEB 320	127	320	300	11.5	20.5	27	161.3	279	225	30820	1926	2149	13.82	9239	615.9	939.1	7.57
13	HEB 340	134	340	300	12	21.5	27	170.9	297	243	36660	2156	2408	14.65	9690	646	985.7	7.53
14	HEB 360	142	360	300	12.5	22.5	27	180.6	315	261	43190	2400	2683	15.46	10140	676.1	1032	7.49
15	HEB 400	155	400	300	13.5	24	27	197.8	352	298	57680	2884	3232	17.08	10820	721.3	1104	7.4
16	HEB 450	171	450	300	14	26	27	218	398	344	79890	3551	3982	19.14	11720	781.4	1198	7.33
17	HEB 500	187	500	300	14.5	28	27	238.6	444	390	107200	4287	4815	21.19	12620	841.6	1292	7.27
18	HEB 550	199	550	300	15	29	27	254.1	492	438	136700	4971	5591	23.2	13080	871.8	1341	7.17
19	HEB 600	212	600	300	15.5	30	27	270	540	486	171000	5701	6425	25.17	13530	902	1391	7.08
20	HEB 650	225	650	300	16	31	27	286.3	588	534	210600	6480	7320	27.12	13980	932.3	1441	6.99
21	HEB 700	241	700	300	17	32	27	306.4	636	582	256900	7340	8327	28.96	14440	962.7	1495	6.87
22	HEB 800	262	800	300	17.5	33	30	334.2	734	674	359100	8977	10230	32.78	14900	993.6	1553	6.68
23	HEB 900	291	900	300	18.5	35	30	371.3	830	770	494100	10980	12580	36.48	15820	1054	1658	6.53
24	HEB 1000	314	1000	300	19	36	30	400	928	868	644700	12890	14860	40.15	16280	1085	1716	6.38
25 CUSTOM
