#	Name	h(mm)	b(mm)	s(mm)	t=r1(mm	A(cm2)	g(kg/m)	tg alfa	Ix(cm4)	Wx(cm3)	ix(cm)	Iy(cm4)	Wy(cm3)	iy(cm)	Is(cm4)	Ws(cm3)	is(cm)	In(cm4)	Wn(cm3)	in(cm)	Ixy(cm4	d1(mm)	w(mm)
1	Z30	30	38	4	4.5	4.32	3.39	1.655	5.96	3.97	1.17	13.7	3.80	1.78	18.1	4.69	2.04	1.54	1.11	0.60	7.35	11	20
2	Z40	40	40	4.5	5	5.43	4.26	1.818	13.5	6.75	1.58	17.6	4.66	1.80	28.0	6.72	2.27	3.05	1.83	0.75	12.2	11	22
3	Z50	50	43	5	5.5	6.77	5.31	0.939	26.3	10.5	1.97	23.8	5.88	1.88	44.9	9.76	2.57	5.23	2.76	0.88	19.6	11	25
4	Z60	60	45	5	6	7.91	6.21	0.779	44.7	14.9	2.38	30.1	7.09	1.95	67.2	13.5	2.81	7.60	3.73	0.98	28.8	13	25
5	Z80	80	50	6	7	11.1	8.71	0.588	109	27.3	3.13	47.4	10.1	2.07	142	24.4	3.58	14.7	6.44	1.15	55.6	13	30
6	Z100	100	55	6.5	8	14.4	11.4	0.492	222	44.4	3.91	72.5	14.0	2.24	270	39.8	4.31	24.6	9.26	1.30	97.2	17	30
7	Z120	120	60	7	9	18.2	14.3	0.433	402	67.0	4.70	106	18.8	2.42	470	60.6	5.08	37.7	12.5	1.44	158	17	35
8	Z140	140	65	8	10	22.9	18.0	0.385	676	96.6	5.43	148	24.3	2.54	768	88.0	5.79	56.4	16.6	1.57	239	21	35
9	Z160	160	70	8.5	11	27.5	21.6	0.357	1060	132	6.20	204	31.0	2.72	1180	121	6.57	79.5	21.4	1.70	349	21	40
10	CUSTOM
