DN;D;T;R;P;ves;ang
1;108;4;435;2.5;2.3;15
2;133;4;445;2.5;3.9;15
3;159;5;460;2.5;4.3;15
4;219;7;490;2.5;8.6;15
5;273;8;520;2.5;12.8;15
6;325;8;545;2.5;15.7;15
7;377;9;570;2.5;21;15
8;426;10;595;2.5;27.2;15
9;530;8;800;2.5;32.9;15
9;530;8;800;2.5;32.9;15
10;530;8;645;2.5;39.3;15
11;630;12;950;2.5;66.1;15
11;630;12;950;2.5;66.1;15
12;630;12;695;2.5;53.6;15
13;720;9;1080;2.5;62.2;15
14;720;9;740;2.5;58.6;15
15;820;11;1230;2.5;73.1;15
16;820;11;820;2.5;71.3;15
17;1020;14;1530;2.5;144.1;15
18;1020;14;1020;2.5;132.3;15
19;1220;14;1830;2.5;206;15
20;1220;14;1220;2.5;231.9;15
21;426;9;640;1.6;25.6;15
22;426;9;595;1.6;27.2;15
23;630;8;950;1.6;55.1;15
24;630;8;695;1.6;44.7;15
25;720;9;740;1.6;48;15
26;820;9;1230;1.6;59.8;15
27;820;9;820;1.6;58.3;15
28;1020;10;1530;1.6;102.7;15
29;1020;10;1020;1.6;94.3;15
30;1220;11;1830;1.6;161.6;15
31;1220;11;1220;1.6;141.3;15
32;1420;14;2130;1.6;278;15
33;1420;14;1420;1.6;236.6;15
34;1620;14;2430;1.6;361.9;15
35;1620;14;1620;1.6;313.3;15
36;108;4;240;2.5;2.4;30
37;133;4;255;2.5;3.1;30
38;159;5;270;2.5;4.7;30
39;219;7;295;2.5;9.7;30
40;273;8;410;2.5;17.1;30
41;325;8;490;2.5;23;30
42;377;9;570;2.5;25.4;30
43;426;10;640;2.5;36;30
44;530;8;800;2.5;44.6;30
45;530;8;530;2.5;55.3;30
46;630;12;950;2.5;94.8;30
47;630;12;630;2.5;81.8;30
48;720;9;1080;2.5;92.8;30
49;720;9;720;2.5;95.2;30
50;820;11;1230;2.5;146.8;30
51;820;11;820;2.5;98.5;30
52;1020;14;1530;2.5;288.5;30
53;1020;14;1020;2.5;194.1;30
54;1220;14;1830;2.5;413.4;30
55;1220;14;1220;2.5;356.8;30
56;426;9;640;1.6;32.4;30
57;426;9;426;1.6;34.4;30
58;530;8;530;1.6;40.3;30
59;630;8;950;1.6;79;30
60;630;8;630;1.6;68.3;30
61;720;9;720;1.6;77.9;30
62;820;9;1230;1.6;120.2;30
63;820;9;820;1.6;80.6;30
64;1020;10;1530;1.6;206.4;30
65;1020;10;1020;1.6;138.6;30
66;1220;11;1830;1.6;325;30
67;1220;11;1220;1.6;218;30
68;1420;14;2130;1.6;558.6;30
69;1420;14;1420;1.6;374.6;30
70;1620;14;2430;1.6;727.9;30
71;1620;14;1620;1.6;626.2;30
72;108;4;305;2.5;3.6;45
73;133;4;320;2.5;4.6;45
74;159;5;330;2.5;7.1;45
75;219;7;360;2.5;14.6;45
76;273;8;410;2.5;23;45
77;325;8;490;2.5;31.5;45
78;377;9;570;2.5;46.2;45
79;426;10;640;2.5;64.3;45
80;530;8;800;2.5;66.9;45
81;530;8;530;2.5;76.3;45
82;630;8;950;2.5;141.7;45
83;630;8;630;2.5;113.9;45
84;720;9;1080;2.5;138.2;45
85;720;9;720;2.5;133.4;45
86;820;10;1230;2.5;218.9;45
87;820;10;820;2.5;169.9;45
88;1020;14;1530;2.5;431.2;45
89;1020;14;1020;2.5;281.9;45
90;1220;14;1830;2.5;616.9;45
91;1220;14;1220;2.5;534.2;45
92;426;9;640;1.6;64.3;45
93;530;8;530;1.6;55.5;45
