DN	r	e	d	l	l1	C	Lab	Lvg	Vab	Vvg
25	14	38	10	36	30	1.50	132	101	0.09	0.07
32	17	44	10	38	30	1.50	145	112	0.1	0.08
38	20	50	10	50	40	1.50	179	134	0.12	0.09
45	25	60	10	50	40	1.50	194	149	0.13	0.1
57	31	74	12	69	55	2.00	254	190	0.25	0.19
79	41	94	12	79	55	2.00	306	232	0.3	0.23
89	47	106	12	83	55	2.00	332	255	0.32	0.25
108	57	130	16	103	65	2.00	410	312	0.71	0.54
133	69	154	16	116	65	2.00	474	363	0.82	0.63
159	85	190	20	140	85	2.50	578	443	1.57	1.2
219	112	244	20	173	85	2.50	729	-	1.98	-
273	140	300	20	200	85	2.50	871	-	2.36	-
325	166	352	24	229	85	2.50	1011	-	2.74	-
377	193	410	24	267	85	3.00	1178	-	4.6	-
426	218	460	24	292	85	3.00	1306	-	5.08	-
530	273	570	24	343	85	3.00	1581	-	6.17	-
