#	Sizes	G(kg/m)	h(mm)	b(mm)	tw(mm)	tf(mm)	r(mm)	A(cm2)	hi(mm)	d(mm)	Ix(cm4)	Wex(cm3)	Wplx(cm3)	ix(cm)	Iy(cm4)	Wey(cm3)	Wply(cm3)	iy(cm)
1	UAP 80	8.38	80	45	5	8	8	10.68	64	48	107.1	26.78	31.87	3.17	21.33	7.38	13.64	1.41
2	UAP 100	10.5	100	50	5.5	8.5	8.5	13.38	83	66	209.5	41.9	49.59	3.96	32.83	9.95	18.47	1.57
3	UAP 130	13.7	130	55	6	9.5	9.5	17.5	111	92	459.6	70.7	83.51	5.12	51.34	13.78	25.55	1.71
4	UAP 150	17.9	150	65	7	10.25	10.25	22.84	129.5	109	796.1	106.1	125.3	5.9	93.26	20.97	38.78	2.02
5	UAP 175	21.2	175	70	7.5	10.75	10.75	27.06	153.5	132	1270	145.1	171.5	6.85	126.4	25.92	47.47	2.16
6	UAP 200	25.1	200	75	8	11.5	11.5	31.98	177	154	1946	194.6	230.1	7.8	169.7	32.13	58.29	2.3
7	UAP 220	28.5	220	80	8	12.5	12.5	36.27	195	170	2710	246.4	289.9	8.64	222.3	39.68	72.56	2.48
8	UAP 250	34.4	250	85	9	13.5	13.5	43.8	223	196	4137	330.9	391.8	9.72	295.4	48.87	87.64	2.6
9	UAP 300	46	300	100	9.5	16	16	58.56	268	236	8171	544.7	639.3	11.81	562.1	79.88	145.8	3.1
10	CUSTOM
