#	Sizes	G(kg/m)	h(mm)	b(mm)	tw(mm)	tf(mm)	r1(mm)	r2(mm)	A(cm2)	d(mm)	Ix(cm4)	Wex(cm3)	Wplx(cm3)	ix(cm)	Iy(cm4)	Wey(cm3)	Wply(cm3)	iy(cm)
1	8В	9	80.000	45.000	5.500	9.000	9.000	1.500	11.800	44	115.820	28.950		31.300	22.240	7.630		13.800
2	14В	17	140.000	60.000	8.000	9.500	9.500	5.000	21.300	102	609.100	87.010		53.500	61.020	14.090		16.900
3	18В	27	180.000	100.000	8.000	10.500	10.500	5.000	34.040	138	1791.010	199.000		72.500	305.480	43.580		30.000
4	20В	23	200.000	73.000	7.000	11.000	11.000	5.500	28.830	156	1780.370	178.040		78.600	128.040	24.190		21.100
5	20В1	26	200.000	75.000	9.000	11.000	11.000	5.500	32.830	156	1913.710	191.370		76.400	143.630	25.880		20.900
6	20В2	29	200.000	100.000	8.000	11.000	11.000	5.500	36.580	156	2360.880	236.090		80.300	327.230	46.300		29.900
7	26В	40	260.000	90.000	10.000	15.000	15.000	7.500	50.600	200	5130.830	394.680		100.700	343.150	52.620		26.000
8	30В	34	300.000	85.000	7.500	13.500	13.500	7.000	43.880	246	6045.429	403.030		117.400	260.740	41.410		24.400
9	30В1	39	300.000	87.000	9.500	13.500	13.500	7.000	49.880	246	6495.429	433.030		114.100	288.780	43.930		24.100
10	30В2	44	300.000	89.000	11.500	13.500	13.500	7.000	53.880	246	6945.430	463.030		111.500	315.350	46.290		23.800
11	CUSTOM
